hla	supertype
A01	A1
A02	A2
A03	A3
A11	A3
A23	A24
A24	A24
A25	A1
A26	A1
A30	A24
A31	A3
A32	A1
A33	A3
A36	A1
A43	A1
A6801	A3
A6802	A2
A69	A2
A80	A1
B07	B7
B13	B62
B14	B27
B1501	B62
B1502	B62
B1503	B27
B1506	B62
B1508	B7
B1509	B27
B1510	B27
B1512	B62
B1513	B62
B1514	B62
B1516	B58
B1517	B58
B1518	B27
B1519	B62
B1521	B62
B18	B44
B27	B27
B35	B7
B37	B44
B38	B27
B39	B27
B40	B44
B41	B44
B44	B44
B45	B44
B46	B62
B48	B27
B49	B44
B50	B44
B51	B7
B52	B62
B53	B7
B54	B7
B55	B7
B56	B7
B57	B58
B58	B58
B67	B7
B73	B27
B78	B7
