,B*07,B*08,B*13,B*14,B*15,B*18,B*27,B*35,B*37,B*38,B*39,B*40,B*41,B*42,B*44,B*45,B*48,B*49,B*50,B*51,B*52,B*53,B*55,B*56,B*57,B*58,B*78
A*01, 0.15888033597919118,  2.4223425076153497, 0.85307554352278414,-0.46025493800280576,-0.89467191853751737,-0.55075356273044795,-0.79861239013338281,-0.087102738981501032,  1.2183634155763794,-0.36164181491554098, 0.26118911357383623,-0.21641608744791613, 0.14052966468533132,-0.30074742287495804,-0.91826342810295558,-0.32515355888232544,-0.48994238218167219,-0.44980527835008155,-0.19967072566033212, 0.75019014439880238,-0.40112755822972379,-0.50145612009384832,-0.23753689245012893, 0.29298085416079866,  1.2322926973885786,0.079916720036229391,-0.21660417936214385
A*02,  1.2882215588120438, 0.11325562021039839,0.014700643481585424, -0.8320642831296029,   1.318837392788708,-0.27478831571726364,  1.0358245273279778, 0.49368616848575303, 0.10810852080785018,-0.71618348127496401,  1.2434065482304641,  0.3137632147415117,-0.22851309728838817,-0.61560859659726119, 0.15214447929522701,-0.67783149226057915,-0.34300060795631093,0.043650431874981327, -0.5540721585086239, 0.34219051600481321,-0.15359373785676725,-0.90099229447938778,-0.11714899644919757,-0.68907079340168231,-0.15642278906123649, 0.24189905967674555,-0.45039803775678594
A*03,  1.9184400201715806,-0.43295888142509947,-0.40966030697443223, 0.23772848439538544,0.074544593168285253,-0.46483611791514046, 0.66818434961558293, 0.81739126995620703,-0.23901537314554649, 0.44838269330977265,-0.071832763961086968,-0.30935313283315785, 0.84479970584586017,-0.24795828170843764,-0.072696591416420708,-0.27604540733273913,-0.38854680016320309,-0.32943640364329241,-0.21654900400648663,-0.82909284285840745, 0.49877900718986112,-0.41473007482813895,-0.24575395703752845,-0.19800932506976598, 0.19557432048982132, -0.3809908139291952,-0.17635836589427858
A*11,-0.49757236073518279, -0.3112545410654764,-0.00064958128527016728,-0.27199143115573221,-0.63999372983679925, 0.38850338772504722,-0.53277913158064849,0.0077771400997682675,-0.16163440989508379,-0.20187041848183734,-0.39105153390165115, 0.29383456456885315,-0.23189280684930424,-0.16072313788279843,-0.19345367172676506,-0.18399702739957913, 0.92959515203990328,  1.7467426124384353,-0.13900971883456173,-0.50988816002927406,  1.1225979118006288, 0.17575248671208979,-0.15918779300188923,  0.5665965946290995,-0.25524329416153052,-0.27745209468720422,-0.11175500750323709
A*23,0.023118472011130858,-0.18042753027192784,-0.17062285906583019,-0.16680980959991978,  1.0794937634611483,-0.20369487378962597,-0.37324068525955595, 0.20736156168208367,-0.095347336997799528,-0.12084984208971827,-0.26626090695461585, -0.4283894987665639,-0.14029843116349611, 0.77404164613295046,  1.0287530769520772,-0.10509243756070247,-0.17259175734056587,0.049773635806168101,-0.08130074803680995,-0.49394824586731273,-0.13638955434678909,-0.17777031882157121,-0.093817995004513086,-0.11220207661555172,-0.15849897807698776, 0.57968164372630748,-0.06466991414200994
A*24,-0.26545457911843195,-0.32121916691647218,-0.42397609581505041,-0.61745517266007954,   1.046202172528935, -0.8209144030431651, 0.76529011465969288, 0.72054880438348312,-0.50956115511860611,-0.60327043470113373, 0.40164937846147597,  1.5106145914781002,-0.66494341923202271,-0.50734833941623902,-0.30035357513756977,  1.3004074590528785, 0.44101232673157431,-0.21707327163832321,-0.45324983575733452, 0.15121276215909354,-0.27372671676862076,-0.40322685609709163, 0.76732259184167684,-0.019796833021487138, 0.44098069515711663,-0.76255945560550897,-0.38111158640689402
A*25,-0.27504221010677832,-0.09312977337498872,-0.13833360695051217,-0.13515621870197519,-0.36404244806279906,  2.5229949023301237,-0.31351072671960417,-0.35386061174864386,-0.076287536610260248,-0.097142548772307283,-0.24345273286331393,-0.30378550799659965, 0.67419198915613099,-0.075823528160995718,0.090190710186789563,-0.087790383835260263,-0.13997564789357134,-0.12528030152644762, 0.69741068291091646,-0.41824202411959527,-0.10993537781131665,-0.14429894077834951,-0.075042565384111193,-0.090050985243379345,-0.13496007934352433,-0.13820291015017508,-0.051441618429451323
A*26,-0.35083601809649306, 0.50212360404022682, -0.1715566568622153, 0.50705441034733667,-0.48921814092086896,-0.23947313284383065,  1.6225052204274744,-0.48216720024416265,-0.11402778846731854,  2.2650025392246893,-0.34231555558274118,-0.47337988075230281,-0.16652443384964971,-0.11335759382092073, 0.26124706321872276,-0.074281696483149612,-0.20383013117531118,-0.18346778162115659,-0.097473333244718047,-0.56217030860385797,-0.16198670652743682,-0.20978340150163305,-0.11222904737149521,-0.13379452774058223,-0.19690264664470133,-0.20138421349842087,-0.07777264140548408
A*29, 0.50615579108215769,-0.17362052386660504,-0.16705512340536433,-0.16331061252489412,-0.37174368191392126,-0.19955061191086121,-0.36153074574771316,-0.54305424492520649,-0.093219312937780061,-0.11821279418669761,-0.28907311824108645, 0.16822525207413871,-0.13728821970029417,-0.092661050357828664,  1.3563072512341703, 0.73325799476041109,-0.16898880317824563,-0.15164813389034504,-0.07946314373242705, 0.42848022157582782,-0.13345333560903416,-0.17407528758212307,-0.091721236135197767, 0.71040985481611307,-0.16307935136868534,-0.16690116989245624,-0.063185864436051606
A*30,-0.57938900127847492,-0.41223478673187042,  1.5189969532092098,-0.36361867299317868, 0.31783811821540781,  1.0407056751116561, -0.5763635044104054,-0.36859356932884818,-0.22277436030659381,-0.26397841038789505,-0.57283311031687023,-0.79108137517500676, 0.35256393165506716,  1.1278912975876587,-0.90541628220556269,-0.25188929013606076,-0.37436081671056526, 0.32912603155746012, 0.52315408568246824, 0.26031500971546728, 0.20172933991631059, 0.60789059176995952,-0.21956885144832849,-0.25750899151014151,-0.24996153835269219, 0.28592518683715057,-0.15656365996532046
