,Cw*0102,Cw*0202,Cw*0210,Cw*0302,Cw*0303,Cw*0304,Cw*0401,Cw*0404,Cw*0501,Cw*0602,Cw*0701,Cw*0702,Cw*0704,Cw*0801,Cw*0802,Cw*0803,Cw*1202,Cw*1203,Cw*1402,Cw*1502,Cw*1505,Cw*1601,Cw*1700,Cw*1800
A*01, 0.21832794863521113,-0.34068342097036414,-0.14130909805815992,-0.14794746051715443,-0.31409978395692179,0.036924100443998048,-0.0025969654630083913,-0.28363573270871484,-0.24476495492406786, 0.91375611116045141,  1.0444956381806769,-0.046542747784422349,-0.23932038522997368,-0.32262715431391814,-0.28330378450033844,-0.16968305270401998,-0.20780533864795436,-0.082798802553438383, 0.60563409475176821, 0.20425871232706685, 0.62851946214138765,-0.23512904267363985,-0.44053569966958028, -0.1491326429648849
A*02,-0.23465895269831583, 0.42808977539924226, 0.17143038633095403,-0.41613113404285118, 0.74972527087249985,  1.0308135424129323,-0.59960213333334123, 0.22839253696805087,  0.6943177881625785,-0.010043365140980259, 0.69354360481765576, 0.61834125428274922, 0.40014067463952929, 0.19722294589535339,-0.67163389447939092, 0.11793901750683601,-0.085970589063434161, -1.0378794459829959,-0.66454062348635834,-0.088162234995313768, -0.4127175348298267,-0.17936468123906593,-0.49794021813489869,-0.43131198986160624
A*03,-0.57355950137915312,  0.6177823941268501,-0.11667613006864019,-0.12404389775656809,-0.39204424081480699,-0.37981256177495898, 0.75686296114720908,-0.30517708311117503,-0.19733246637969823,-0.48659156873696685,-0.37847537155655131, 0.24120357857957064, 0.35578999923657889,-0.21105284393844051, 0.22663965790839694,-0.14181663332659991, 0.38641219875204463, 0.64132518294750451,-0.25771967713535088,-0.28657264367734731,-0.12450938687129524, 0.17165056569597675, 0.66172278729071854,-0.084005319157297059
A*11, 0.11980006386267077,-0.25464752266939572,-0.086998130763821097,-0.091553661308670653,-0.25983888486952716, 0.10854394798996786,  0.3227762062749302,-0.20133009462204426,-0.26116600101900628,-0.25899487312941555,-0.44828092363212663,-0.40037833253395028,-0.15618424874308842, 0.46832329192345012,-0.20136701942893592,-0.14628737430068106, 0.90559338238209974,  0.7465276948090227,-0.20667461590115718,-0.11596945310410871,-0.092417425010231438,-0.45087277810159043,  1.0531271026523124,-0.091730350756702966
A*23,-0.21838407325229639,-0.12699006863912674,-0.054784826771223233,-0.056787188700736464,-0.16494136364395168,-0.18635586288643072, 0.86456323854998474,-0.12438359911928783,-0.13075037736837877, 0.27545873423320849,-0.18246319799536728,-0.17995192809767285,-0.10043581323466483,-0.13998095420009177,-0.12659052904332657,-0.066305020298920644,-0.084814939422129074,-0.18084480934794653,  1.4135646793406786,-0.16844375884429916,-0.057373781858163053,-0.54274822510543808, 0.39676343019854954,-0.057019764492969846
A*24,  1.2281642617652437,0.092444663121751189, -0.2175441022561124,-0.29269168056861267, 0.11015644830285587,  1.6381908833182715, 0.32362199086932841,-0.012456770212658048, -0.1507102767402187, 0.49253459338319283, 0.22684607163076878,-0.095002666927457111,-0.45548184990569102, 0.30345058540065495,-0.19940499346358992,-0.35550114694593116,-0.44967937121854795,-0.44702548991112473,-0.65665396073014726,-0.14404111129842734,-0.29569267161122487, 0.35131019724400403,-0.70009142829447923,-0.29474217495184551
A*25,-0.16662041751672246,-0.059523223701481005,-0.040608708311526374,-0.042870750113535999,-0.12485057086571588,-0.16044774948760279, 0.20717582035382839,-0.079869350117864585,-0.43879763575304337, 0.38432332060990587,-0.21504570404243001, -0.2154614523585692,-0.076720982618225644,-0.10570320365123401,-0.095730825922618876,-0.049860172776044473,-0.06387488831608143,  1.5159591418590284,-0.088819646569793576,-0.13565344941073759,-0.043264817693033038,-0.27778635170725252, 0.41666514661985293,-0.04261352850910273
A*26,-0.33031308421548389, 0.63167356091516391,-0.056193751100389919,-0.05928640988370841, 0.58345825120391082,-0.20244275097149739,-0.25015841870663474,-0.10497280221525955,-0.17978880962790833,-0.22696055903269335,-0.62649245747913218,  0.3969614601635485,-0.16532400365329752,-0.14133240871852312,-0.15471317539647481,-0.068741072229585767,-0.08797669009773873,  1.1155769192489842,-0.12301602934917033, 0.50575652575305419,-0.059866442996497703,-0.15476519005257108,-0.18122055424012129,-0.05986210731797386
A*29, 0.17140585065929867,-0.0067025604462824604,-0.048984368822030569,-0.051470675907074111,-0.090185605018872614, -0.1287529099222042,-0.066872295974300278,-0.086727785427136633,0.095594860020575045, 0.13453324305925568,-0.26238982884891293,-0.06509237967103447, -0.1275978081416177,-0.12240454048711262, -0.1128425231896978,-0.059782632377466345,-0.076372985905798718,-0.18713488565770736,-0.20876304783219274,-0.035589450908029327,-0.052050554669027506,  1.5963405050128159,-0.15618914550541405,-0.051968474040033151
A*30,-0.52942468592708536, 0.14459069846359199,-0.13697276660259247,-0.15342891399282574, 0.17473939702527272,-0.44922985247045882, -0.6714595764577177,-0.27281074399554561, 0.90452770627859735, 0.55505615136015785, 0.55550779221517865,-0.095458167378219203,-0.21921119019570492,-0.29081265144279056, 0.18339232721228063,-0.15078653811975018,-0.27532919104746928,-0.57148412504024759, 0.62950261590221834,-0.21713573729127122,-0.13238290816678469, -0.3474329755675718, 0.74054220117539649, 0.62550113406334118
