,Cw*01,Cw*02,Cw*03,Cw*04,Cw*05,Cw*06,Cw*07,Cw*08,Cw*12,Cw*14,Cw*15,Cw*16,Cw*17,Cw*18
A*01,  0.2690495516389067,-0.35953552186024362,0.056544158187863944,-0.50463435896197961, -0.2664734942116711, 0.81845116094652848,  0.5135157253739947, -0.4813313972967046,-0.17202556920946016, 0.60037295833997173, 0.42712223571839791,-0.20679440242719063,-0.53165468454200493,-0.16260636169640874
A*02,-0.14855879779477252, 0.52664881600217772,  1.1595622512010311,-0.55498353092028152,  1.0126801852947112, 0.00305249308960017,  0.7136017340267985, 0.30882322511050858,-0.68740803308730392, -0.8656664261078495,-0.20464127626056924,-0.32481768977499414,-0.44047714235929331,-0.49781580841976308
A*03,-0.49640463216901748, 0.56676174242943256,-0.54028183445906641, 0.55643800548909905,-0.05300131920301121,-0.63281834686921667, 0.18355690065077793,0.068730823642698224,  0.7195300991482767,-0.32027484803958051,-0.38478548511291599, 0.05518347142766436, 0.39154769087109492, -0.1141822678062369
A*11, 0.17894658579941999,-0.29310385112975273,-0.31875380711248308, 0.40945955253086136,-0.47264032456644661, -0.2653869807657977,-0.66633718259780883,  0.1687612344790162,  1.0885400186345402,-0.20777540806539227, -0.1838077536590689,-0.37645472566258503,  1.0400180612258567,-0.10146541911035829
A*23, -0.6072819710915125,-0.21765039586912927,-0.41442331127836729, 0.98118526851816878,-0.67542103693341982, 0.33415854273977563,  -0.415786839230748,-0.16975192615463119,-0.19901328373341098,   1.703219981144392,-0.17758738743035268,-0.45997928107550295, 0.40179756368197189,-0.083465923287233831
A*24,  1.2322906070416983,-0.10742375507193985,  1.1072934289768703,0.055460177424486133,-0.097125771455949805,  0.4794204457054223,-0.065580698242117236,0.016058919686621539,-0.62742919620173676,-0.80938500755007436,-0.33423468325671218, 0.18732137683952838,-0.67871463977870072, -0.3579512041173924
A*25, -0.1645685937755508,-0.098920494165970055,-0.20975174028846805, 0.27016587198221625,-0.59513288184929447, 0.32251541189389266,-0.42177538321798036,-0.17334659219272278,  1.3551206063374766, -0.1042291360031536,-0.17188644172539638,-0.24400443324766449, 0.29169698332481836,-0.055883177072202486
A*26,-0.30628352559354272, 0.63331509829533827, 0.46882918246968391,-0.45742170747919958,0.032114716812153249,-0.25568572402398043,-0.31819622803438197,-0.45428472554310539, 0.95189046398133959,-0.13470480390505513, 0.45421121455307312,-0.34792441844712008,-0.19203912218361877,-0.07382042090158393
A*29, 0.19586135743237412,-0.067201955460318846,-0.39076914664447415,-0.074419959121057172,-0.14978766169378924, 0.13729569965704902,-0.25574394172258247,-0.20840485549114598,-0.19873154921803959,-0.22299809305953594,-0.080712017444518128,  1.5334255735218132,-0.15436804119305333,-0.063445409562721683
A*30,-0.87385264406073948, 0.11839553751252491,-0.20603554327947526,-0.84626049580527973, 0.88429290971352259, 0.40178793025675402, 0.28312789547105743,-0.083734786603970879,-0.72546849256060786, 0.45338005824111099,-0.25064684999869979, -0.3543463153577035, 0.62765700454604367,  0.5717037919254625
A*31,  1.2269779508473739,-0.21489968771757137,-0.29830483620407588,  0.1800797512677548,-0.12935394596665181,-0.42967325263379452,-0.36980900244596054, 0.58109511359105037,-0.48454200591105256,-0.56831623655771535, 0.88271425155024663, 0.11427909937981894,-0.33212550811666292,-0.15812169108275897
A*32,-0.10533060336825392,-0.52562794980797389,-0.15175221439095024, 0.51433410816589797, 0.43704636940830405,-0.12779039813909948,-0.24452800596678906,-0.13579077221331876,-0.11552679468792207, -0.1183202749416836,-0.10066476678256102,  0.8130610067023667,-0.093105800648738093,-0.046003903329278499
A*33,-0.094359907652330141, 0.65878727986276975,-0.50141108295149395, 0.56967627948132438,-0.064717168979690459,-0.082832444975291478,-0.20948228999902097, 0.25744768888083497,-0.13032546983402629,-0.063923745337547272,-0.19339738186357944,-0.080109038577954247,-0.032443409142986844,-0.032909308911008003
A*34,-0.023507179554754572,-0.02693926247991927,-0.024462790813922289,-0.07600826046576363,-0.092435431104970295,-0.12931654723799502, 0.54730018767437283,-0.024289564637119017,-0.028501536477296738,-0.013551766504709276,-0.023593691063762395,-0.055809166168929246,-0.021405035467107744,-0.0074799556981233629
A*36,-0.02592677641440783,-0.022885045293158782,-0.027705129968997915, 0.39162648690948715,-0.015923889413730258,-0.072859608961846969,-0.050392964099719502,-0.053732236012702002,-0.031231021150258286,-0.015471361860586154,-0.026864157871973125,-0.018275151194089352,-0.022583437439139941,-0.0077757072288770256
