,B*07,B*08,B*13,B*14,B*15,B*18,B*27,B*35,B*37,B*38,B*39,B*40,B*41,B*42,B*44,B*45,B*46,B*47,B*48,B*49,B*50,B*51,B*52,B*53,B*54,B*55,B*56,B*57,B*58,B*59,B*67,B*73,B*81
A*01,-0.17547330468291661,  1.6768668718913653, -1.1634679935556611,  0.1311266872480156, 0.14851218914301201, 0.73586925509173973,-0.50525981116928853, 0.19983606762334666,  3.0629159343963077, -1.4012689165884495,-0.65193760231980036,-0.17490985421007441,-0.40503015048776386,-0.16737778986086557,  0.3934068128537172,-0.49026954978260373,-0.44850018537534719,-0.16682813940657393,-0.85259053797765594,-0.30642554428202551,-0.12730948840387118,-0.49885498368690173, 0.28106400340895071,-0.24211283473611644,-0.34748069754291216, 0.34647604072195798,-0.88295671529272335,  3.3777413209946112,-0.022076100254622536,-0.44114522433919434, -0.4827191563628479,-0.15262370079260362,-0.24719690226220586
A*02, -1.0640327124910625,-0.99467238056017748, 0.40822684306998108, -1.3772464010903718,  0.4775113052348357,0.084313374191563886, 0.25096981189137618,-0.46069246118276014,-0.30107957259230855,  1.6036295518155044, 0.36583565340047053, 0.81266594152953153,-0.56915137268217941,-0.71839128977728062,-0.43168104009158981, -1.3662580329780449,  2.1696227915217707,-0.70489928153736414, 0.81512034165840186,-0.68636984862764072,  0.7307023843610404, 0.23259821089825061,-0.70827461703942507, -0.5637624651968659,  1.1731380788456012,  1.0092903916561899, 0.23986635413900384, -1.3786306810397051, 0.16375067211709346,  1.0113341040866408, 0.20853390634898594,-0.18919108976401997,-0.24277647011567838
A*03,  0.2155040006624728, 0.36296394858344871,-0.51880043384057539, 0.13634530298645181,-0.77683636667796396, 0.64562768357827038, 0.11337824818922343,  1.3656183655190108,-0.20960334862189114, 0.56160354281152058,-0.29904991762236438, -0.9270082801170374, 0.25019949233600397,-0.16164974677265262, 0.77815771190043614,-0.47534558011988892,-0.51287075636745671,-0.16111630291354623,-0.45422331911438274, 0.40021792213573176,  1.7386794561503758,-0.24749894001915718,-0.00403401375457313,  -0.255710149778556,-0.90999365310110991, 0.02382318598294788, 0.35035985597194058, 0.16830998275954814,-0.76906168396209573,-0.17120470393789389, 0.12981816763095694,-0.14733575613584168,-0.23926391434135708
A*11, -1.2746234423728504, -1.3838807345872537,  1.6989337620526201, -1.2445384278402407,   1.192921002260378,-0.51802210687205419,  1.3741959227679827,0.011520935021286092,-0.34673972922480495, 0.61134673641913062,  1.4378023310987793,  1.0357322494187595, -1.1260606507883597, -0.6153191296969247,-0.50862015451460474, -1.2774055576235288,  1.0151487401311545,-0.61385779478259894, 0.22935725785141073,-0.56490563498326618,-0.42976088138859697, 0.40562176293156782,0.095506719391097894,-0.84766206937353616,  1.2772461730316902, 0.77096264550866245, 0.94586688170033573,-0.56083706137890688, 0.36396778820505182,  -1.137639027239713, 0.37070021554071714,-0.57538798153570703, 0.18842926087227249
A*23, 0.73581716143588338,-0.16836616174145594,-0.39205898129950784,-0.077499011008599711,-0.35319309761035955,-0.17401956174854724,-0.21315075093453056,-0.64087652865460076,-0.15419119147195429,-0.28943092784766494,-0.16721668739190795,-0.32488024049285436,  2.3100040638980279,-0.021597033748861828,-0.37763668545480961,  2.6808198818623956,-0.44724687256085027,-0.021516073377758571,-0.20431114203438336,-0.044412572885547154,-0.089443890113690999,-0.64016443930669631,-0.34217736986901098,-0.036961483486099331,-0.21537140027872184, -0.2641475638369713,  0.5362543368934547,-0.17336085166701254,-0.22438180767373617,-0.071224196638788859,-0.080495102311562886,-0.019446810565315664,-0.034117008077960267
A*24,0.075254358269803062,  -1.037459305323932,   1.034297346086779, -1.1855543683688734, 0.49580176255765257, 0.87896462201835113,-0.082451026728293006,  0.5951404266591811,-0.73281835328256262, 0.22103736805003549, 0.52821030089777221,  1.2696969654379251, -1.0177972273733193,-0.57524518430814719, -1.0890538710960074,  -1.220567259433099, 0.61687261276896521,-0.57384431227915578,  1.4478237139795034,-0.41730380229665859, -0.4892179844210966, 0.49494906457483007,  0.7904598915225457,-0.74074892836368855,  1.4958607274726563, 0.31169817862134275, 0.36419127224466197, -1.1894857655784112,-0.24248944099910644,  1.3363342699386438,-0.077360190726175768,-0.53700559966739347,-0.74819026085477303
A*25,-0.17137283721690214, 0.84336416185789065,-0.10464416580142349,-0.01773389013032528,-0.28470644758421104,-0.042771390414570301,-0.053878426307774473, 0.52948021595621186,-0.03735560971638692,-0.10713829394961877,-0.040897350054081759, -0.2805467266997641,-0.014406782064469967,-0.0047344651160508506,-0.10672963468797218,-0.018884068029936016,  0.6791083270852738,-0.0047164229779146707,-0.051807593973401046,-0.009909261177239061, -0.0206528217800852,-0.21674910849676285, -0.1055902816590801,-0.0081995857614829502,-0.054525476851296446,-0.069194470331046753,-0.049176892903201076,-0.042700149019760131,-0.086440536832838796,-0.016220679586148708,-0.018461367510679647,-0.0042559934664073091,-0.0075519747985446977
A*26,0.086933545987616156,  1.8223348163996433,  0.1772036709278067,-0.54860411810270771, 0.47795980346472988,-0.46345911762940761,-0.076572917091423512, 0.60016893364139523,-0.85381659531955967, 0.74093615691446435,  0.5577394222919122, 0.77185543710428073,-0.47770469820968159,-0.20434807387566792,-0.69132360200550047, 0.40916709812000257,-0.50028870444050566,-0.20369753259381335, -0.1727145534564877,-0.21987131737350826,-0.048212879394802663, 0.16569818144316872,0.013829304791648435,-0.29725895798573715,0.092223771473506133,-0.067559261586422004, 0.46875495997142669,-0.098772070576861631, -1.1556620528673678, 0.23810166505588587,-0.058461176321071888,-0.18684769780308341,-0.29773144095387077
A*29,  3.3160432339862655,-0.37610951586237168,-0.65658573838595591,-0.13964800493297788,-0.18679892019279196,-0.16761794248331202, 0.79777323505244324,-0.33682821385676603,-0.26470356976641768,-0.44851969083921384,-0.28488764137112654,-0.65466846463919603,-0.11580316498322424,-0.040631227165680218,  0.6375787152712391,  1.3047235973583493, -0.1615658830316192,-0.040481670374963821,-0.32475731745624942, 0.65976931404314365,0.096445405853369692,-0.93726800976162272,-0.59747839253801105,-0.068661557010481752,-0.35766051203330673,-0.42936288765430813,-0.33019329038565925,-0.29194595884313052, -0.1103153129387731,-0.12886045713110056,-0.14474258627311806,-0.036652800369775577, 0.82041522871634398
A*30,-0.23669565469377851,-0.53830852020504205,  3.7647163590632582,  3.3985589803912077,-0.90673366024869162, 0.12221225535615024,-0.48905613662331804,-0.28269308400232079,-0.37492234317094258,-0.86904626958844766,-0.40117016953353973,-0.61208255498077557,-0.17299060580751208, 0.71204453224187025,-0.35593039217686662,-0.21767986669521866,-0.39774769817605832, 0.82707609183061792,-0.47538116353969784,0.023809190240400676,-0.23460079704848444,-0.47609623601555828,-0.78327331761115182,  1.4499342679203562,-0.49388546795087224,-0.48323520154340227,-0.45868021462415559,-0.41396328004750732,-0.064981559524284985,-0.19153309141275071,-0.21369187294708264,-0.056817989806082853,-0.09715452907032443
