,B*07,B*08,B*13,B*14,B*15,B*18,B*27,B*35,B*37,B*38,B*39,B*40,B*41,B*42,B*44,B*45,B*46,B*47,B*48,B*49,B*50,B*51,B*52,B*53,B*54,B*55,B*56,B*57,B*58,B*67,B*73,B*78,B*80
A*01, 0.45333104544955449,  2.8677047491358882, 0.32354708390469744,-0.66533238470378875,   0.308083895006177,-0.79422722874653862,-0.24544447201659669,  0.2229367769693883,  2.2505528196597862,-0.35117775397380446,-0.35454158329214996,-0.27920042161810055, 0.15738037114461675, 0.23000991841735158,-0.088946480816863405,-0.71455099208291595,-0.38280557932406589,-0.81712048370857282,-0.72905041565537054, -0.1509267924816666,-0.69965698343001781,-0.46399670682668964,  1.3000726307715285,-0.27877630512903295,-0.41759960218739156,0.024094654087793869, -1.1760880925928472,    2.31342757857754,-0.056704477297140628,-0.41142790409919505,-0.40706666248230639,-0.65902989407431711,-0.30747030658488467
A*02, 0.60918062709463872,-0.034599862860571602, 0.72629026074948033, -0.6209046061321859, 0.93733183830186684, 0.22855539557496693, 0.78935305306680914,-0.19598164532338863, 0.26052391908366962, -0.5098026789290947,  0.4110895516166122, 0.80056780897299706, 0.27230924955098096,-0.90615343444702212, 0.91913823924015858, 0.27447583329945729,-0.26574682290165508,0.022714269790875291,-0.014555234595353548,-0.12723976271248932,  0.8511218762418078, 0.73102006598306224,-0.13947255767774566, -1.3597458981567896,-0.79721573500709364,-0.31865951551328697, 0.19694219176805675, 0.59076247427081485,-0.33047619115770027,-0.76199639938768127,-0.79919035815215667, -1.1208006222079556,-0.31883532944406245
A*03,  1.9671692080045053,-0.32523437229658009,-0.52065489647918817, 0.28569579559067121, 0.43672573928979275,0.035446100065016285, 0.47239844858566193,  1.2681743892493307, 0.63560796133571362, 0.17353043846637378,-0.36404536891017986, 0.19492302363832856,0.092145241283038054,-0.73223820819323882,-0.026917562113079052,-0.48640848880717663,-0.42633749207097205,  2.1409370464490518,-0.81259057042550542,-0.092160825973920502,-0.34419878418055555, 0.38569633676685294,0.012132356692354162, -1.2222017587175038,-0.45756125262757197,-0.053969828469989184, 0.29587274551625564,0.0018166629285953737,-0.64005621341983443,-0.45098258604247976,-0.45063216876340573,-0.56348075791520458,-0.42860035845517264
A*07, 0.79203794079477186,-0.057219930187590071,-0.021651844366850956,-0.057430546745763318,-0.058940336776643981,-0.052461391134042808,-0.037082360782698401,-0.081526629176523563,-0.012148106619429468,-0.024378281534098812, -0.0215423075642334,-0.055007196583757106,-0.013653310295044763,-0.0013946740276195176,-0.094577541676243312,-0.0074258432472102962,-0.00053101653783465749,-0.0029474452333202142,-0.0015728376884990246,-0.026347555557140565,-0.014734413152496913,-0.052392767793559905,-0.013248184456604591,-0.009303734832786242,-0.00058789692130417951,-0.020133136084025484,-0.0059591270071007538,-0.02721454104760427,-0.017758802638895173,-0.00057568041587261018,-0.00057503606176768105,-0.0011804232030420653,-0.00053504144516799349
A*11, 0.38601847388791005, 0.15135889771329639,-0.29667257555584248,-0.79843653199495657, 0.34457891681066849, 0.66379424162263623,   0.417279884397108,  1.6616765484345122,-0.98406409325102018, -0.2798598457313155, 0.15691019704400561, 0.32889040125586411,-0.99808910210985058,-0.099579431050147715,-0.023647023327875764,-0.55846053827645459,-0.25404949115606823,-0.73373299519884005,-0.55662554652486895,-0.12536142876677694,-0.35218789141402634,  1.0525771359149974,   1.414023865238915,-0.60980361897942303, -0.2753708748789781,  1.6877339334948638, 0.97230176533343071,-0.42627318952811405, -1.2128342401959793,-0.27085319447822342,-0.27061290336173355, 0.14495441387096461,-0.25558415923866773
A*20,-0.083243876980088685, 0.85328828904161913,-0.022317413141136205,-0.059135183338683908,-0.060687222060313205,-0.054026032325051092,-0.038205004824183014,-0.083891554913615357,-0.012525091898506778,-0.025125626768666191,-0.022204593515154587,-0.056643696363164076,-0.014076359873604493,-0.0014384245723766541,-0.11053546628242655,-0.0076573780137622911,-0.00054768726868846594,-0.0030397601895328133,-0.0016221670886494282,-0.027153691318615534,-0.015190489198500072,-0.053955445841406074,-0.01365885212447695,-0.0095932939704170914,-0.00060635325118625573,-0.020752941974642176,-0.0061452042255493488,-0.028046495708224289,-0.018306840173255259,-0.00059375319220991371,-0.00059308858958350319,-0.0012174615346550435,-0.00055183852129392157
A*23, 0.30966091153049735, -1.0860524697919092,-0.15208134626040548, 0.06527619727539459, 0.14163629508524198,  -1.429491278526994,-0.56301732529298631,-0.84239822039004741,-0.70910386439938433, 0.19765589762794208,-0.33143891443827761,-0.81220756847674314,  1.2318123146395823,-0.19651057338862207,  1.9640929805845524,  0.8494562933937021,-0.083679094527619818,-0.33868482597308297,-0.10231831576246347,  2.7395481050070973,  1.5576223814424097, -1.2691076159498766,-0.27507166266951349, 0.85750931870170588,-0.091895520940995401, -1.0752952759001109,-0.20461662385689636, 0.21333879023905877,-0.12953735568653582,-0.090140327540442433,-0.090047361513267851, -0.1706494318521308,-0.084264512388868396
A*24, 0.70885487833877969,-0.24549217152050859, 0.56289564380036394, -1.0084549951892261, 0.92126472552566996, 0.85350556611786421, 0.36844496019892181,  1.0951944499850896,0.061104094551744349,  0.6653324576440417, 0.93879668041401876,  0.4282843345463847,-0.69688176738271401,-0.65139010569752254,0.066263000761343616,-0.61124783423227302,  -0.367611392549197, 0.16079503082243457, 0.82722326160578663,-0.12552176944442264,-0.38086070531097932, 0.47862775469878699,-0.53214036464567693,-0.47539594945213876,-0.39575323016377917,  0.5754978346936378,-0.31296802127165568,-0.078639937569812052, -1.0513475188208545,-0.38981382271879794,-0.38949755788885437,-0.62942080369623443,-0.36964672615024552
A*25,-0.066988704560058884,  1.0766590924160031,-0.83301094172685741,-0.95464832492488916,  0.2529150524341654,  2.7551711202125433, 0.63899689408153804,-0.98051665256383214,-0.39820827837721728,-0.03600915920261772,  1.4905886436133067, 0.28889920517764739,-0.92437614899406462,-0.19435389311471415, 0.36265342204652762,-0.63891809585118886,-0.082666822469919035,-0.34995102262672995, -0.2147826756717105, -1.2210858311435246, 0.30251319421578715, 0.27334708752844233,-0.38545738064069218,-0.74991199691253241,-0.09079191311265554, 0.38941883211204714, -0.5661438010283345, 0.18656812972522988,  1.1000926048478352,-0.089056126087527623,-0.088964191596352701, -0.1687356292078481,-0.08324568859779459
A*26,-0.57351231319340801, -0.7226525119523397,-0.51666380810500934,-0.029686703521371365,-0.36780646813044537,-0.46343796644230179, 0.55151807392075369,0.079110052915458792, 0.12766077211377314,  2.6031322106557671, 0.59871565957401396, -0.7396675583336374,0.036554067872834578, 0.44150250421218068,-0.23425715991565535,  1.5367923451305041, -0.2101286418657744, -0.7095840928678806,-0.47708572893677798, 0.22485153375413588,-0.96354560266667866,-0.05765238260528447, 0.21826811420452893, -0.8092918203435443,  -0.228448386285966,  1.1037263005608124,  1.1235717444254427,-0.11020346047715709,-0.39022665217928937,-0.22455970374541034,-0.22435301405349564,-0.38119507164453204,-0.21144433207424337
