,Cw*0102,Cw*0103,Cw*0201,Cw*0202,Cw*0210,Cw*0302,Cw*0303,Cw*0304,Cw*0307,Cw*0309,Cw*0401,Cw*0403,Cw*0404,Cw*0501,Cw*0505,Cw*0602,Cw*0701,Cw*0702,Cw*0704,Cw*0705,Cw*0707,Cw*0708,Cw*0709,Cw*0721,Cw*0801,Cw*0802,Cw*0803,Cw*0804,Cw*1202,Cw*1203,Cw*1204,Cw*1205,Cw*1402,Cw*1403,Cw*1502,Cw*1503,Cw*1504,Cw*1505,Cw*1506,Cw*1507,Cw*1508,Cw*1509,Cw*1601,Cw*1602,Cw*1604,Cw*1700,Cw*1800,Cw*3031
A*01, 0.23209714987496058,0.035371875926340189,-0.21362029529620438,-0.063663962662645374,-0.47272690124545602, 0.12669155710526794, 0.15548520250730816,-0.34440550397680525,-0.25839324175729239,-0.19367250211127574, 0.02783564498640733,-0.20265493296384524,-0.19435799783172772, 0.28367576597918082,-0.19321749315454756,  1.0693371247008725,  1.5188284916247539,0.099866183784890886,-0.010401937495546461, -0.1928107205830743, 0.52477170869778089,-0.15259094176659457, 0.48140424664147091,  0.4861302277770892,0.0010438980905060505,-0.73618634224896118,-0.11679031775674124,-0.25804840615182745,  1.0364166957765339,0.033902466748535177,-0.24950984196066633,-0.17360950413475568,0.081160324990442248,0.074520138963560439,-0.13450121554643193,-0.28773648270762309,0.0058212371485331701,-0.41270472852210444,-0.30462045283670453,-0.19756917059706885, -0.1744661336141316,-0.20308928573147605,-0.019634519628118956, 0.17248683128609202,-0.30785165794429753, 0.20534839343463973, -0.3878032648330616,-0.19555741098614732
A*02,  0.2547588675521778, 0.45128762988760884, 0.16116920937316184, 0.38298555805626355,-0.90493731582037606,-0.51037422452701142, 0.76408074109846491, 0.92491280224948069,-0.41820215587430554, 0.12494811211664356, 0.34582695706849326,-0.48667493569906267,-0.38730101101692149, 0.89916995636878783,-0.41155066190244532, 0.18683213237716007, 0.73610798426813295, 0.73313699661680931, 0.33472281448850544,-0.42722756599562822,-0.47010892931835602,-0.56713081139527888,-0.47157453608409278,-0.47074975233517108,0.045249224027018177, 0.36569693413730497, 0.10834760944976769,-0.59895999149164392,  -0.859671113807146,0.098346578442123606,-0.43094260590798888,-0.47317778247347619, 0.60186857125554893, 0.49473084320249694,-0.029573310689744319,-0.50901607827999729, 0.27686036926508001,-0.013282925271530041, 0.38729941036146648,-0.37691324553474809, 0.10777140695982525, 0.41086052872770318, 0.61552559522005057, 0.64194039431735705,-0.77879603636832917, 0.18054886202408899, -0.6740854522340386,-0.36473564688423227
A*03, 0.16439604547271938,-0.45955500346384937, -0.2395053308593145, 0.33208168506774088, -0.2176851571350302, 0.36693925431542601, 0.19922245021832122, 0.65451277438797595,-0.32159930213757071,-0.24744841227771983, 0.29648679088848673,-0.26024196785521331,-0.26695539854687755, 0.17270396473017186,  -0.260456970020287,0.010403650443218646, 0.36824966269417275,  1.2126814019417109, 0.78958144103584416, 0.44206491923849134,-0.24081077674220328, 0.29196725643287291,-0.25097560812176956,-0.25058022100389238,-0.54303915031264849,-0.41764975946546035,-0.24170566586562525,-0.22049236563548391, 0.33380978551671286,-0.19805399619686201,-0.31930846026063542,  0.4622547114846251, 0.15812317466387577,-0.44926361439815371,0.069185553000522329,-0.37868528106491073,-0.70682396702292594,-0.32119997119885091,-0.44672412137079553,-0.26595541977024084,-0.25114999090831908,-0.23610195265394052, 0.29997004163661112,-0.13628437467915452, 0.72331414537225935,-0.11605692392419789,  1.1657823522160491,-0.24942189786589891
A*07,-0.0037441204098542587,-0.00020963042674899154,-0.00012844120661330036,-0.0048381177995329714,-0.00039382273323208589,-0.00033722259050889355,-0.003351733221332837,-0.0058253237456912356,-0.00017354350116914963,-0.00012685445055596512,-0.0080253270320220539,-0.00014479327048578676,-0.00013376789598650097,-0.0026638434163773362,-0.000127064109864206,-0.0028220577110875346,-0.026904726608685897,0.085193100180616377,-0.0014287511146160168,-0.00013412997889865669,-0.00013502996881349286,-0.00067029256571268943,-0.00013521648326714526,-0.00013607180907811237,-0.00037141511936370077,-0.0015158489324778224,-0.00013227227946617276,-0.00018658610187106693,-0.00045614785965937511,-0.011945345357691869,-0.00017946810158844557,-0.00013051789786156613,-0.0006255911526547365,-0.00026305453882042988,-0.0036861525492427579,-0.00021297650427317275,-0.00026372541713099622,-0.0052764503784279672,-0.00016299583767974979,-0.00013050939668922168,-0.00012202032516473987,-0.00013023421889754361,0.0064765951917448578,-0.00062098719702901196,-0.00028691131340291846,-0.0017602738271386463,-0.0004830841935028986,-0.00013724482219132906
A*11, 0.42667366067598289,-0.28672693121054338,-0.12679179788175171,-0.12302871055996591,-0.33448441456889921,-0.48165333855026737,   1.084852690208072, 0.45740401635022698,-0.17288738168468262,-0.12852686667331176,  1.0469340336426625, -0.1384541021728431,-0.14016069503691783, 0.56762569251611872, -0.1514798882835299,0.026706477936593531, 0.69329129275827162,  0.3704230796750051, 0.22808839552330307,-0.13178034782792472,-0.13336496404693798, 0.51724623132416603, -0.1338949691925497,-0.13359455768990974,-0.076052095577893802, 0.16176068931806598,-0.12726779751644715,-0.17933745047948332, 0.87769544605461258,-0.0016435370628547236,-0.17180905469652738,-0.13713430852459718,-0.60954405738577377,-0.24629719877399547, 0.75145526888209291,-0.21925833513515305,-0.51790639949543193,-0.63238328076151651,-0.32642631523411719,-0.15490985961705805,-0.14499278038732405,-0.18382860499540277, 0.78043617759836248,-0.55223893161562776,-0.54588885546251664,-0.31819466976882876,-0.097031576109373241,-0.13161907848359128
A*20,-0.002074092801747968,-0.00018094015506070317,-0.00026422928866901154,-0.0021779547302330097,-0.00035558027105433819,-0.00029472499066172855,-0.00098163738243516627,-0.00470485244419623,-0.00015485101412611042,-0.00010543798323093647,-0.0018338260582790482,-0.00011962728596435471,-0.00011058957697345169,-0.0053973057727704655,-0.00010485400747928963,-0.0012789275720415036, 0.06977952886418845,-0.035933681733758986,-0.00069891761794573545,-0.0001129908833858446,-0.00026243034933366363,-0.00013264920847235319,-0.00026388667927419561,-0.00026246223047939358,-0.00065739811946357923,-0.00095578477742959032,-0.00011004353568526449,-0.00015622112905657658,-0.00039940513099949719,-0.0016847235880571314,-0.00014955926689480607,-0.00011170437793621974,-0.0006493710562793972,-0.00016942031739091226,-0.00099689238686050444,-0.00016876158685718654,-0.00023215039848981903,-0.0012955679141611236,-0.00013846172044398668,-0.00010770484674292531,-0.00010120958713286349,-0.00010926291515447939,-0.0013201642365250565,-0.00051640516436578829,-0.00027129293916466289,-0.0013122423779015583,-0.0002459561457240746,-0.00011337530789806424
A*23,0.0069380487223275576,-0.074726690996134437, -0.0410546627459858,-0.23369061732242377, 0.62418036953106626,-0.27398833874224365,-0.56153786559861352, 0.21232001489382649,-0.056834607430406713,-0.041729616905442947,  2.1745660275533778,-0.045807421218531097,-0.042359526329331265,-0.35131450183123974,-0.040669870382305913, 0.79998527110875017, 0.83716435294319957,-0.43828208130194751, 0.15103032095921706,-0.04910631638997482,-0.042974886769663941,-0.062563464857803924,-0.043168140517312277,-0.043075133908873575,-0.034013243062001278, 0.26314494678688488,-0.042279494902294969,-0.059850474381860121,0.019792743822332901, -1.1180334656144131,-0.061045148091597862,-0.042161935589200242, 0.10606983860458716,-0.21656697827563925, 0.75983817584884827,-0.066761473883853464,-0.092575130859206087,   1.138016416869692,-0.054872521099499534,-0.041762942078722463,-0.039204203915640404,-0.042516010075011573, -1.9824205902309604,-0.38207790543973963, -0.1856471059994737,-0.04737620372646803,-0.096404985030013962,-0.044592972140272837
A*24,0.085020521880954922,-0.11291221306883689,-0.24895438901659481, 0.50085843559938448,-0.53709814671271527,-0.0091162447622228915,  1.4643640787986816,0.074375774784582488,-0.32897326927257498,-0.25092341621443875,-0.19649530980889759,-0.27007845896251531, 0.38186344548460177, 0.20322818873497364, 0.36652316918179861,-0.30681576846198089,-0.10822007645618617, 0.89896303966266555,-0.19813118618561842,-0.25862387014499122,-0.25950058058340242,-0.31336777572328944,-0.26044944898943323,-0.20695893152219558, 0.76394375411018345, -1.3746380887909904,-0.25285643242099698,-0.32494509149299611,-0.013599254573517202, 0.23598447352889573,-0.32912262140732712,-0.27448434297357888,-0.38830091391222044, -0.4794604625348689, 0.31016890738724084, 0.25427878981666979,  1.0750590999007261,0.026038599151923227,0.032797457065873774, -0.2697578252834229, -0.2550797122053366, -0.2943835731884627,-0.37980130857921912, 0.54187881113611014,  1.5249223262148472,-0.66161832024898592,0.061213947225488785, 0.36318421383220856
A*25,  0.1909988571463718,-0.10126666251291308,-0.049086362596857079, 0.61486342138749128,-0.17388862154714332,-0.65291934498924731, 0.46030157639036468,-0.34507359473638027,-0.064721011314729793,-0.04552836323535444,-0.25224589551392002,-0.048329623475965401,-0.045045173756081219,0.093062925787194994,-0.047787485080080599,-0.14221676738802694,-0.32337583881235982, 0.28785223261049281,-0.18840500911583194,-0.045581316754951993,-0.051255875349059732,-0.057556811074847947,-0.051483651007425732,-0.05132720920646465,-0.12948471884474894,-0.037186193675379335,-0.044253486914861168,-0.06395043823650233,-0.056031584943038906,  2.6084765999975073, 0.63337191467373566,-0.054531098297994247, 0.11369842486711849,-0.085811056812765643,-0.58000451564702016,-0.07032077914139323,-0.17146477549738662,-0.30759149066338592,-0.090732706213853528,-0.049041458714254867,-0.045756721337217851,-0.054557093421070749,-0.15955089887820106, 0.11276316197418042,0.030758808458348798,-0.26929913479109735,-0.093720369296203074,-0.045764784498796965
A*26, 0.66044608114854697,-0.22534821183435569,-0.10144403301804218, -0.5649008401465877,-0.37400052089777897, 0.47952451752704978, 0.11316638320040451, 0.31521652499308772,-0.13832189951639087, -0.1029485074405135,-0.80072658907547056,-0.11167284332446474,-0.11166761328096408,-0.64978239669051796,-0.10756745944034557, 0.57292780751225325, 0.25977880435652451,0.096164933234417438, -1.0764894602547352,-0.10750315316018413,-0.10638684028755695,-0.13056084666904394,-0.10685875515390934,-0.10657349756933519,-0.27972283067465353, 0.58621270528038927,-0.10280931702594874, -0.1471360217156743, 0.48522402846197593,  0.5676713658176179, 0.64216883709242889,-0.10607221831154626, 0.77497700989514917, 0.45149929955424906,-0.25679837978543557,-0.16984296598472037, 0.28788776466860483,-0.075123270984501889, 0.37427309184276414,-0.11017547907884952,-0.10339420782703927,-0.11978793683952567,-0.40756224715845818,0.029644087233786538,-0.070920082820879526, 0.48736195207040833,-0.20535883017796175,-0.10668793774427712
A*29,0.096866363779766942,-0.13381285046771277,-0.066677283200893722,-0.15998604903634406,0.013163880617614521,-0.85696232517836324,-0.84129763661655488, -1.0751636917662646, 0.72372083225976924,-0.065519229849368879,-0.72954001291990445,-0.07884663160055766,-0.07516573058508122,-0.73243516301293221,-0.072559249678195062,  1.4481429961621142, 0.35701086638922219, 0.14093976962115251,-0.30565058680807267,-0.074786993577457009,-0.074787994563202426,-0.10015438363702509,-0.075123239447493745,-0.074941966098240609,-0.20145960375450861,0.026950535455199241,-0.072420332902610962,-0.10167169379486569,-0.47575336951763536, 0.32703214625908611,-0.099793094885338482,-0.073353319747801848,-0.18642263560444203,-0.26415900163004702, 0.31085528223382369, 0.58113612963229955, -0.1884953109076116,  1.2877067097582382, 0.23056268994449824,-0.074389698909681667,-0.069782064513284184,-0.07787516752173794,  2.5130279218905169,0.016288551412695737,-0.60296882198017621, 0.23257493351930431, -0.1480958893132564,-0.075928585908641558
A*30,0.089505324764606167,-0.14230427495369596,-0.081086456015779559,-0.057078071370606991, 0.25264788620383311, 0.18280323172110755,-0.30369084019215931, 0.39989790478018489,-0.10455077542621914,-0.076666442660982839, 0.85718902133661823, 0.77039232806328961,-0.080566451267085101,  2.2938547803833944,-0.082122073772453619, 0.80434616644694412,-0.81607697507831534,-0.70674052460200265,-0.32744821393706919, -0.0874382211138649,-0.084780901288671356,-0.10375805332930198,-0.085138431470909437,-0.084916654593141377,-0.23289896553705547,-0.20374990418427594,-0.079773398310037477, -0.1257011062397608,-0.45498041470837741,-0.92484676203871263,-0.11146915540200354,-0.090761075936183364,0.0030249037212734947,-0.13679015865548752, -1.2638965539613372,-0.12506681062359853,-0.25057521315491993, 0.43821985954321513,-0.13849027838109973,-0.084237165214927967,-0.079093047505562356,-0.091280665742082226,  0.8784961384320582,0.046434419562758303, 0.30283469271928354, 0.65222262556430022,-0.27185304214275158,-0.082042204432431473
A*31, 0.43353742912969417,-0.18982193892764809,-0.076057679097103786, 0.26065743092031723,-0.21789367762781855, 0.64916962332242001, 0.31278458001049841, 0.96964524438617483, -0.1079667530324943,-0.074718659259094988, 0.68070820137316956,-0.082131573166356012,-0.077235351043288672,-0.11194546788325938,-0.08516202573385262, -0.2104338771351246,-0.23303023465993811,-0.038934083940817196,-0.70261257332620608,-0.07951494149693504,-0.079898972204456478,-0.10120989553479671,-0.08023832021240801,-0.080041434056248681, 0.41892064850109489,-0.10017473884072449,-0.077658866272060187,-0.11055805749818806,  -0.655412838506087, 0.51120159441698199,-0.10426751832362988,-0.076762472688777589, 0.14289495641051062,  0.6409160316063286, 0.91721534571201158, 0.60722893890824037,-0.32589152060358378,-0.087918287449190155,-0.17690527519084923,-0.087185887427260009,-0.081479983148346258,-0.10081304496499822,-0.50173030741319402,-0.30141406013240868,-0.26385352086350006,-0.62715772539022951,-0.15902208417361069,-0.077826377472949501
A*32, 0.55632532373086951, 0.12980871217196241, -0.1149183670620376, 0.73257393050692743, 0.19601006939095447,-0.58188214382960257, 0.19185873600554781,   0.132898615426955, 0.45176466172344171,-0.11638132380016357,-0.12107229636430983,-0.12655340923962166,-0.12277241350932833, 0.61930101360802747,-0.12131081873619708,-0.68084930999269155, 0.42478188253981258,-0.016615785531601441, 0.15308311255850182,-0.12038126608708548,-0.12053285059759854,-0.15794658870192604,-0.056521585527900903,-0.12075606454566692,-0.30482782858982643,-0.062236364802615143,-0.11659528316536825, -0.1674889050957841,   0.187921890913335,-0.04865189655452816,-0.15966772045244534,-0.12164149484284627,-0.070425060972753584,-0.23535352405697599, 0.54722334644950932,-0.19099873675869919,-0.35366376631748875,-0.11343970690140127,-0.20289303112216969,-0.12418656626225816, -0.1166361873859052,-0.13434420696855767,-0.054332216674102138, 0.61047799513869705, 0.34677311172034564, 0.23635460562580773,-0.24080682142733598,-0.12047346563390238
