,B*07,B*08,B*13,B*14,B*15,B*18,B*27,B*35,B*37,B*38,B*39,B*40,B*41,B*42,B*44,B*45,B*47,B*48,B*49,B*50,B*51,B*52,B*53,B*54,B*55,B*56,B*57,B*58,B*67,B*73,B*78,B*81
A*01, 0.17895548579791062,  2.4886219743720543,-0.042193766619701124,-0.27109362540964943,-0.58728285212445952,-0.91757142651452861,-0.63594746448327877,-0.0029834602760618147,  1.5559946917651279, 0.49698987028971592,-0.94831118679690074,-0.046622892850307206,-0.23591953501020618,-0.62446799456844604,-0.88047711673230344,-0.88578533621969169,-0.43148898884061043, -1.0027349729845243, 0.54333427001563217, 0.40549236273366585,-0.16026332618442771, 0.54195427878818814,-0.82090736777903239,-0.28313184638468331,-0.13874041934460613, 0.58435803768812111,  1.7428998314765971,-0.10421895042634646,-0.27637594331477472,-0.49202278393078858, 0.16712550302494827,    1.08281495084337
A*02, 0.40144246680790668, 0.26518873009828087,-0.49549143360735898,-0.62379582357635566, 0.35774125043329158,0.050507188783782513,-0.098348208006806603, 0.66276282718648916, -0.6731996855996184,-0.24089474462646124,   1.078292225786464,   1.074467895293141,-0.13377283161000172, -1.2703148458862816, 0.23296349330676561,0.099791760651115613,-0.95352763716089894,  1.4725626490588506,-0.10064968919040804,  1.0569164184326389,  1.0382619810563365,  0.8144791605550874,-0.93308191733539081,-0.63238396245600192, -1.1438435251208723, 0.93452890670370037,-0.23623046961834629,0.039802965076940089,-0.072875474936329745,-0.73885321573623497,-0.19376197559292205, -1.0386844791705601
A*03,  1.8002624406459165, 0.23948717157698857, 0.13547346169069802, 0.58529744404782202,-0.030412046348038804,0.043160149733529309,  0.6524051311011787, 0.78767350842946093,-0.95195104638578565, 0.89761087382257876,-0.90682997955995082, -1.0048150688627031,-0.87263351452100135,-0.77782088343274391,-0.55062173060614239,-0.80669300567957092,  1.4322656102812397,   -0.98610293295883,  0.2144236524580713, 0.23845445004334448, 0.49249207625742786, 0.26895247472505268,-0.10692963319325928,-0.31047494572121975,-0.66616241243127738, 0.77608957869137052, 0.14233230702322852, 0.27266897221074243,-0.30321840967934532,-0.53249958256089058,-0.22532468635756114,0.053440575559663632
A*11, 0.14682763391729262,-0.15702018356915323,-0.10038354276342307,-0.051626304589476681,-0.56184398806491664,-0.041998288699212787,  1.8502151264273523, 0.85463376962426918,-0.0071998487144551921,0.025210338605766328,  -0.938678158772694,0.071467279003376794, -1.0986411005949175,-0.86449577351964779,-0.037993812783640377, -0.6306669372764292,-0.45126491100894967,-0.70141487767364696, 0.53423230056523363,-0.52653363010419219, 0.89196859150809693,  1.5959830516941875,-0.33251412635243743,-0.18928672804356977,  1.8435974571481861, 0.11310918946509188,-0.55493528205505127, -1.0297056754498239,-0.18442105293693301, 0.21284975481060417,-0.19514759573552531, 0.51567732593863658
A*23,  0.6886253204335766, 0.68332354687877739,-0.66188169367903982,-0.099991358449366768, 0.29206349077310489, 0.12072392936955041,-0.45095763310895826,-0.67205640244519027,-0.085635501554600466,-0.97436260239933559,-0.66988160891079696, -1.0833823610050171, 0.58646773926028661, 0.54627776429152053,  1.1454070929045215,  1.5212448012134525,-0.38630329901106003,-0.31941438760390256,  1.4848382318527082, 0.80856783475102589, -1.0442383667652524, -1.0842744260755093, 0.22981872429784542,-0.16024884584450785,-0.41785604743037025,-0.42283247962150355,0.021871943366053977, 0.93394319342632026,-0.15602883978470133, 0.23468854552494084,-0.36520770798324986,-0.24330859667132654
A*24,-0.16880491091831831, 0.38033786577189282,-0.46345138558877053,-0.27773740257382001, 0.38156501517870334,-0.11940566244642462, 0.41965226453879517,  1.3324309301308639,  0.5267029528352547, 0.33846388334582578,  1.5868678504416922,  1.6094756138599777, 0.32147558621508793, -1.3227838839609187,-0.52564686631968216,-0.15074671050467328,-0.17756809497257847,  2.0309564060374541,-0.41757678328941422, 0.35102955337639918, 0.10762922239931648,-0.34130679517625279, -1.2110352271914602, 0.28991669196126874,-0.0066719682814793679,-0.40702805843423284,-0.67421723567272085, -0.9332009777503455,-0.35959107179750227,-0.60564343680728605,-0.71299488723401361,-0.80109247717266485
A*25,-0.08136321170750424, 0.06056770279744287,-0.27110735061249058,-0.57355455331329774, 0.65754175731260112,  3.3678132555980169,-0.33809538129369432,-0.25772350553540097,-0.16905408324737684,-0.34435208381634713,  0.2586894581682635,-0.093399539722099495, -0.4001606761226863,-0.24247642156078919,  1.3505727511264363,-0.41295241847351982,-0.091119037080742968,-0.16917352195287488,-0.46056888390804845,-0.26811432215411063,  0.9130829932616964,-0.39920078127544495,-0.43767744726726726,-0.031230836709565172,-0.28861147781591834,-0.10001694729313751, -0.4159165430887744,-0.48636248591187592,-0.030308604841693398,-0.064672375562281267,-0.082952631445102412,-0.098102796552411997
A*26,-0.10968902415621991,  1.0683676785923171,-0.60399918731381097, 0.52795975964876984,-0.71223626332315915,-0.77683675328073776,0.098755217599126546,-0.57479480934376814,   0.465720174530797,  2.9123307513518792,-0.069521692973178048,-0.50473449232423451, 0.19083466218057854,-0.48023708962654443, 0.66703440637632017, 0.25361838135328946,-0.31838469682812204,-0.58032191883625472, 0.32245575352805411,-0.33230843713589614,-0.33177220100407878,-0.048498422979763429,-0.49800386482985254, -0.1247288920608738,  1.0096564564421868, -0.1458632507799863,-0.94436191810079817, 0.62874540450942629,-0.12134304774873086,-0.23840545404418478,-0.29107510977932505,-0.33836211964322416
A*29,  1.1425360221886069,-0.61469213546286683,  1.4502651520435086,-0.13769759092386366,-0.70846041737508014,  0.0480192086905777,-0.81777295872254097,-0.34039020934690889,  1.2446228074231354, -0.3719479115844857,-0.19233293019230421,0.010851152605650168,-0.52980340780538138,-0.63354518378362257,  2.4395287604843845,  1.8019015150874129,-0.29502288407079746,-0.41786117027616804, 0.23340204729110878,-0.35859975947851674,-0.0053286255775533628,-0.28830623640553127,0.055441363895294207,-0.11411423450430018,-0.70457045259146611, -0.3189864448296737,-0.60851943539599251,-0.72789175465838096,-0.11098789402959505,-0.21985209695344757,-0.27247057032419597, 0.36258627458299514
A*30, 0.15024997601877035,-0.020891095001102526,  2.1489264420179293, 0.47507513517185984, -0.4112808707928014,  1.6732943284433017, 0.85829022454058035,-0.47553735237704403,-0.74833271216368491, 0.11513224216919613,-0.053676918904455549, -1.1014820024451675,  1.0286361610399646,  2.5285063981017992,-0.62856767085757226,  0.6037206469577161,-0.53833276843910871,-0.50475189281908739,-0.94047735902214102, 0.54324095253886795,-0.93712778095275395,-0.67929440003036712,-0.23641852837202221,-0.23596932040757296,-0.90722362203095064,-0.15011592759214173,-0.16627425458927914,-0.39578950628632714,-0.23012811093900915,-0.42027229730116533, 0.18245529959133996,-0.52558341526757046
