,Cw*0102,Cw*0110,Cw*0202,Cw*0210,Cw*0218,Cw*0302,Cw*0303,Cw*0304,Cw*0305,Cw*0306,Cw*0307,Cw*0308,Cw*0338,Cw*0401,Cw*0403,Cw*0404,Cw*0408,Cw*0501,Cw*0509,Cw*0602,Cw*0701,Cw*0702,Cw*0704,Cw*0705,Cw*0717,Cw*0727,Cw*0801,Cw*0802,Cw*0803,Cw*0804,Cw*0811,Cw*0812,Cw*1202,Cw*1203,Cw*1402,Cw*1403,Cw*1406,Cw*1502,Cw*1504,Cw*1505,Cw*1506,Cw*1509,Cw*1519,Cw*1520,Cw*1601,Cw*1602,Cw*1604,Cw*1700,Cw*1800
A*01,-0.28215564514161523,-0.15501421375070118,-0.15088295910750937,-0.51530179799442355,-0.11754416016323603, 0.58248941063829907, 0.43743691315483973,-0.19563274838523126,-0.11370495790978501,-0.54868145343057328,-0.17592607873184293,-0.12260610046010226,-0.11542679550480503,-0.16046496856208517, -0.1248431871742849,-0.11535095529384355,-0.11571697790042364,-0.15571598170338308,-0.044971577688417815,  1.5335793068814723,  1.5040505829644573,-0.90583222067648428,-0.60335468198872277,-0.13847010716058725,-0.12803969771301782,-0.11852260259825102,-0.58751096058701902,0.075882659929528917,-0.20039398635147035, 0.25652765173386038,-0.10783810568172902,-0.11906591684762181,  1.3266996900925343,-0.35789992246769359, 0.64817697055755552,-0.22590671233933746,-0.12021982842924808, 0.38715001805202137,-0.20076853395727634, 0.30376204612668717,-0.11189415056236746,-0.34623776792484851,-0.11346211234045184,-0.11700734226565522, -0.1737557437534801, 0.25375088542536056, -0.2058668296470357, 0.63756848153921675, 0.14491316509871127
A*02, 0.87724712097979696,-0.56779301470857879,-0.21599322530097875,-0.68981584457091083,-0.45208678417505771,-0.11196600607497567,  0.5474963440591899, 0.38821972796682047, 0.49860511822065501, 0.64581571089584133,-0.085537362469493824, -0.4734252935694247,-0.45200243583836186,-0.30034481854243134,-0.48653152181069331,0.010326982487526552,-0.44434399186319312,  1.0864180435051611, 0.78496259353330022,-0.45838655839442005, 0.59621741369718007, 0.35130769404272372,0.036824179310612402, 0.24535601832885826, 0.54733621391774656,-0.46094274700636068, 0.92501159337082517,-0.46361353226293478, 0.24707075858515615,-0.51891208102542397, 0.17005924809810449,-0.45484614055141948, -1.5148165145477357,-0.27730168705006758, 0.47027324504815127,-0.27180301036076265,-0.45818038045820048, 0.67772895033930247, 0.13408100243226759,-0.26331454165111789, 0.14601106173121761,   1.400641856649937,0.067971105329089607,-0.084328452622327854,0.077301200203587314, 0.58262074279299303,-0.12744501604034328, -1.0620995990254882,-0.81907336560533073
A*03,-0.24600575787715048,-0.17784258499133684, 0.25559391575622797,-0.10618927610440457,-0.16313944385007556,-0.15356405758334321, 0.92682990284274758, 0.18757227244949046,-0.53524116567164681,-0.35858971570541082,-0.20768526005780669,-0.15474311104266425, 0.63717588181538665, 0.44232040394654187,-0.17172545820108223,-0.15406307433762709,-0.15954492386549543,-0.38284729047214938,-0.18381799327871226, 0.32109283152707618,-0.35944875910244584,  1.1812326974292506, 0.22280909324897874,-0.18578638613516249,-0.16707351320631691,-0.14843576020474891,-0.80665662202885247,0.075272628101856351,-0.26387524471945928, 0.24350061917929816,-0.14508650528711328,-0.16381360320513869, 0.87577960117112841, 0.65503161888009276, 0.38039964081812749, -0.1569912285770462,-0.16549661784258216, -0.4369703480772415,-0.30208597340314691,-0.51409384673951142,-0.16022746974576324,0.030382456285657684, -0.1621598153774019,-0.15713541331582959,  1.1349779295286511,-0.47175452835199866,-0.22475245936998942,-0.13388222440747122, 0.71075393915562501
A*11, 0.96572208178010788,-0.11253797844420295,-0.58190359855804774,-0.36054996623993735, 0.71794488619541774,-0.43335646178667347, 0.37145640449025757, 0.20686757987321283,-0.75183382083428341,-0.43845879122250292,-0.14729889334720966,-0.10881398185254287,-0.10349595360865181, 0.49509647239247473,-0.10901379496693861,-0.10333199471378444,-0.10474236970251694, 0.32977889020448675,-0.13620624461110753, -0.4720112808275998, 0.55176841933482879,0.016371297680039865,  1.6846432617750193,-0.12438686005334415,-0.11226987816458495,-0.10449574342945489, -0.5723733895001667,-0.0095647403744316978,-0.18321530486076393,-0.45798535680916741, -0.0976137407703212,-0.10786287064121669,  1.5873348698620151,  0.8204272995341666, 0.21225831513270135,-0.22006233791975877,-0.10881891685167454, 0.28492447270172472, 0.32472119376887892,-0.66685681463483626,-0.11388065843434667,-0.48923154426706345,-0.11505069807166134,-0.10495484255273611,-0.25714092597138771,-0.91802446988122477,-0.20140253566786179,-0.36247427343052369, 0.72190558827719087
A*23,-0.51679886849997125,-0.093984423738014716, 0.93490655199191341, 0.68311164693856441,-0.083014541598762745,-0.38334755568834727,0.052854379614887356, 0.32162716745762665,-0.08675426122554393,-0.16318382275084645,-0.11243332258932748,-0.081093276941821363,-0.090304352676380012,  1.4608856884033861,-0.093522323229434573,-0.076829389595795994,-0.079336623173843615,-0.93112983887964762,-0.16138839314534983, 0.46463436196868102,-0.093019621805931582, 0.70320276700630047, 0.70539834698352655,-0.085395613440293755,-0.085134411770097076,-0.07790306407198791,-0.10290195230466669, 0.16039384865814255,-0.16723286612152694,-0.11097259145855429,-0.044982022935436392,-0.08425966868030918,-0.28874424032340429,-0.75126230975859087, -0.4636666861210243,-0.28875551743781802, 0.68632144635225545,-3.7192142018245673E-005, -0.1147968323267064, 0.76534855390753442,-0.074329600365737311,-0.14432489129214715,-0.075769612911755935,-0.077702787458537273,-0.78300270463564114,-0.35951247715728712,-0.27390356122811638, 0.21983693597879347, 0.34220952421906869
A*24, 0.96986366930337642,-0.32473314707684442, 0.36060471757837814,-0.94555197743710107, -0.2408112354339135,-0.82425831475900935, 0.87767830497200372, 0.52229931298201915,  1.4229560270369992,   1.647624709364355,-0.27915555417526472, -0.2559555012228798,-0.23561970601424084,-0.42099168233590006,-0.25908708233270816,-0.25851950703669185,-0.23819799567382149, 0.15374460066685491,-0.27775328358500961,-0.39597850314125982,  0.1761897051420131,  0.9986101483715637, 0.65592359854034832,0.099804487833395988,-0.28730799517003203, 0.47217801793077036, 0.39732174044994034,-0.79947235656260651, 0.48427372110906408,-0.41326271125516501,-0.24069612318494849,-0.23050743582845828,-0.65221823348601782, 0.24259658331507369,-0.80154256082044606,-0.41044764133526379,  -0.247021637518859, 0.60641468222342831,-0.39658699737494241,-0.61664666507975874, -0.2021785573747949, 0.88045332051892689,-0.22915423408811481,-0.26501153788513238, 0.10915099580006118,-0.56241843304459349,  1.1876323078690201,-0.18555780640338662,-0.76867623437042565
A*25,-0.48667070729793183,-0.02679219156130766,-0.87183286632890755,-0.14498902525964658,-0.022662454976448174,-0.091765650760263606,  1.8960017298319405, 0.48001137268103694, 0.30665273946556942,-0.046019875355344533,-0.031443238929256871,-0.022820612423215723,-0.022270008624301816,-0.97203227061555353,-0.025236390599194108,-0.021509695786411931,-0.022117081615047347, 0.65436580279839252,-0.057537323837297163, -0.2144889720883246, -1.1373105891701765, 0.31646835479178687,-0.51757489852869298,-0.02486054538473997,-0.023562883508047163,-0.021774413464292611,-0.21184570321965107,-0.078231294108632096,-0.040770717749712616,-0.071763477799030709,-0.021001017296718508,-0.022702659269294899,-0.10576563083816175,  2.6897896700885822, 0.49082750565156924,-0.11641852766414766,-0.022898295914190354, 0.33947299736433723,-0.048043319241535605,-0.25491116875749309,-0.02361720231221311,-0.11376796875373278,-0.024048137248603472,-0.021827430828327155,-0.58772333841418989,-0.31541125690069444,-0.11023913876955931,-0.10951955314792725,-0.06781263832499726
A*26, -0.6255773800764719,-0.067677960970013648,0.016000140661704444,-0.25864895934699156,-0.059535190512177628, 0.14612009119440436, 0.13816530392077966, 0.67592009447770929,-0.32307298566460235,-0.17173331218722673,-0.077253998118562553,-0.057184608163282649,-0.059911203419430167,-0.33492014961624617,-0.060786652660004444,-0.054745006261421619,-0.057940193618551308, 0.73119002517511267,-0.10980103376802673,    0.28620175715154, 0.79197298253544746,-0.076596644868732341,-0.41335495460775318,-0.063666780069858986,-0.062096154750147056,-0.03833982198644998,-0.30784561028407426, 0.51137860673516444,-0.10378413509037371,-0.19267850952441778,-0.053200245066524834,-0.059439310391023674,-0.21050407884771755, 0.90847131551166693,0.093030797293185932,-0.20172364005887394,-0.060015822782473804,-0.79066706835523015,0.014903383334871163,-0.068790727995128031,-0.054474383737407574,0.023039696223143703,-0.055299124010958031,-0.055563299022316187,-0.031729175908841174,  0.8734921456989575,-0.18989842436230056, 0.39126238803448987,-0.19269218184456696
A*29, -0.5237239505222111,-0.083250171121100183, -0.3595802833280029, 0.43668276469468775,-0.064597666911807877,-0.21232630915828976,-0.28313772953936966,-0.32469199912142871,-0.56719934099595959, -0.2507182556300146,-0.093984697292623584,-0.067220856143804478,-0.063958636257568521,-0.32508099608766738,-0.068463758316303913,  -0.062149738029929,-0.063883239124892785,-0.62129463664162266,-0.16506917836257187,  1.4394098135739635,-0.33936992219058532,-0.37659679613632174,-0.81194009248752741,-0.065090396885597993,-0.069739106739324305,-0.064820499990765959,-0.17582176447078413, 0.50464030205200738,-0.12196049065095209, 0.39563349714503848,-0.060255967894010345,-0.065385085210779306,  0.6214253158199704,-0.88224346885188221,-0.46015882910818656, 0.28224135113124982,-0.065924538345415312, 0.86575507106991967,-0.097309907856422032, 0.61944323504957011,-0.059332712489121711,-0.14129758668914444,-0.060427978815506739,-0.062871724080753214,  2.6935702282106022, 0.27276318797709947,-0.29626525301698686,-0.0084058473000428475, 0.35398464507117067
A*30,-0.088415036351118678,-0.13672040116309483, 0.12917116329831713, 0.76975923030301019, -0.1270912491346845, 0.28107916228435975, -1.1352112729885009,0.056270422848729684,-0.21035228278589704,-0.064941162864044125,-0.16043064827865627,-0.11722924681399001,-0.11647344530083974,-0.34367739906577066,-0.13094330794486436, -0.1143670347155417,-0.11981161775176864,  1.6383408866715818,-0.13134697158023723, 0.45059532972515481, 0.13822275355911107,-0.94847504368117919, -0.4062362181825161,-0.13315484476237455,-0.13527166094257348,-0.11277099539351111, 0.16401587742652138,  0.3611821645033908,-0.18659751544773617, 0.21072437621890724,-0.11155867897966613,-0.12296660692373781, 0.05216714647206535,-0.72513985092861588,-0.37815929982912022, 0.67314483286065241,-0.12432740109192048,-0.86675733281945611,-0.17466143548588198, 0.16859104965501184,-0.10865081592454062,-0.23628216987489742,0.030607363832538748,-0.11616093257079739, 0.64171023946827843, 0.92038830724790477,-0.17382231082996674, 0.21923208184628923,  1.1528018021856732
