	#HLAs	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20
#states	df/sig	0.05	0.025	0.016666667	0.0125	0.01	0.008333333	0.007142857	0.00625	0.005555556	0.005	0.004545455	0.004166667	0.003846154	0.003571429	0.003333333	0.003125	0.002941176	0.002777778	0.002631579	0.0025
2	1	3.841459149	5.02388647	5.731139389	6.238532811	6.634896712	6.960401518	7.236689325	7.476772828	7.689092643	7.879438691	8.051956338	8.209716319	8.355057157	8.489801124	8.615395981	8.73301115	8.843604853	8.947972145	9.04678001	9.140593499
3	2	5.991464547	7.377758908	8.188689125	8.764053269	9.210340372	9.574983486	9.883284845	10.15034763	10.3859137	10.59663473	10.78725509	10.96127785	11.12136326	11.26957921	11.40756495	11.53664199	11.65789124	11.77220806	11.88034251	11.98292909
4	3	7.814727764	9.348403568	10.23551822	10.8613026	11.34486668	11.73888042	12.07130241	12.35876079	12.61195039	12.83815644	13.04256498	13.2289987	13.4003563	13.55888806	13.70637574	13.84425423	13.97369603	14.09567156	14.21099303	14.32034709
5	4	9.487729037	11.14328678	12.09387544	12.7618514	13.27670414	13.69542805	14.04818158	14.35285872	14.62094686	14.860259	15.07634962	15.27330837	15.45423334	15.62152746	15.7770919	15.9224566	16.05887093	16.18736831	16.30881323	16.42393612
6	5	11.07049775	12.83250201	13.83876983	14.54385195	15.08627247	15.52679863	15.89751147	16.21741288	16.49868453	16.74960237	16.97604426	17.18233434	17.37174596	17.54681632	17.70955165	17.86156559	18.0041752	18.13846945	18.26535888	18.38561257
7	6	12.59158724	14.44937534	15.50589207	16.24451989	16.81189383	17.27217346	17.65917057	17.99288518	18.28612521	18.54758418	18.7834319	18.99820436	19.19533325	19.37747715	19.54673733	19.70480312	19.85305288	19.9926258	20.12447417	20.24940205
8	7	14.06714043	16.01276427	17.1154579	17.884952	18.47530691	18.95379128	19.3558044	19.70226254	20.00654861	20.27773986	20.52227447	20.74488319	20.94914336	21.13782527	21.31311763	21.47677945	21.63024552	21.77470133	21.91113758	22.04039058
9	8	15.50731306	17.53454614	18.68021229	19.47845848	20.09023503	20.58569797	21.00172184	21.36007469	21.67467431	21.95495499	22.20760469	22.43753547	22.64846034	22.84325362	23.02418547	23.19307987	23.35142417	23.50044702	23.64117495	23.77447432
10	9	16.91897762	19.0227678	20.20879728	21.03407044	21.66599433	22.17743263	22.60664394	22.97619583	23.30050824	23.58935078	23.84964606	24.0864765	24.30368261	24.50423647	24.69048484	24.86431277	25.02725706	25.18058692	25.32536258	25.4624787
11	10	18.30703805	20.48317735	21.70739075	22.55824743	23.20925116	23.73582358	24.17753145	24.5576982	24.89121864	25.18817957	25.45572558	25.69910032	25.92226492	26.12828405	26.31957695	26.49808649	26.6653963	26.82281401	26.97143178	27.11217103
12	11	19.67513757	21.92004926	23.18058977	24.05579846	24.72497031	25.26595786	25.71957139	26.10985309	26.45214942	26.75684892	27.03130735	27.2809218	27.50976821	27.72099935	27.91710347	28.10007848	28.2715526	28.43287006	28.58515338	28.72934952
13	12	21.02606982	23.33666416	24.63192461	25.5304181	26.21696731	26.77174594	27.23675202	27.63671436	27.98741101	28.29951882	28.58059546	28.83618465	29.07047211	29.28669482	29.48740705	29.67465934	29.85012255	30.01517588	30.17097096	30.31847913
14	13	22.3620325	24.73560489	26.06417607	26.98501762	27.68824961	28.25627088	28.73221833	29.14147929	29.50024576	29.81947123	30.10690703	30.36823761	30.60775404	30.82877413	31.03391549	31.22527921	31.40457703	31.5732218	31.73239302	31.88308548
15	14	23.68479131	26.11894805	27.47958092	28.42193954	29.14123774	29.72201455	30.2085025	30.62672252	30.993265	31.31934962	31.61291418	31.87977855	32.12433522	32.34997985	32.55939103	32.75471851	32.93771342	33.10982098	33.27224756	33.42601052
16	15	24.99579013	27.48839286	28.87997019	29.843102	30.57791417	31.17101005	31.66767917	32.0945538	32.46860875	32.80132065	33.1008072	33.37301905	33.62244658	33.85256059	34.06609855	34.26525716	34.45182565	34.62728045	34.7928539	34.94958514
17	16	26.29622761	28.84535072	30.26686529	31.25009923	31.99992691	32.60494777	33.1114735	33.54672769	33.92805697	34.26718654	34.57240818	34.84979906	35.10394428	35.33838733	35.55592267	35.75879248	35.94882279	36.12752028	36.29614242	36.45574943
18	17	27.58711164	30.1910091	31.64154673	32.6442733	33.4086636	34.02525123	34.54133849	34.98472209	35.37310909	35.71846566	36.02925234	36.31166894	36.57039242	36.80903677	37.03045171	37.23692349	37.43031387	37.61215885	37.78374026	37.94613878
19	18	28.86929943	31.52637844	33.00510435	34.02676672	34.80530572	35.43313264	35.95851158	36.40979579	36.80504237	37.15645145	37.47264753	37.75994955	38.02312368	38.26585239	38.49103908	38.70101283	38.8976701	39.08257538	39.25703417	39.42214703
20	19	30.14352721	32.85232686	34.35847489	35.39856168	36.19086911	36.82963436	37.36405697	37.82303146	38.22495538	38.58225655	38.90371889	39.19577726	39.46328464	39.70999012	39.93884933	40.15223303	40.35207144	40.53995677	40.71721757	40.88497373
