	#HLAs	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20
#states	df/sig	0.1	0.05	0.033333333	0.025	0.02	0.016666667	0.014285714	0.0125	0.011111111	0.01	0.009090909	0.008333333	0.007692308	0.007142857	0.006666667	0.00625	0.005882353	0.005555556	0.005263158	0.005
2	1	2.705543971	3.841459149	4.52857675	5.02388647	5.411894595	5.731139389	6.002488768	6.238532811	6.447459655	6.634896712	6.804879548	6.960401518	7.103744762	7.236689325	7.3606506	7.476772828	7.585993857	7.689092643	7.786722896	7.879438691
3	2	4.605170186	5.991464547	6.802394763	7.377758908	7.824046011	8.188689125	8.496990484	8.764053269	8.999619341	9.210340372	9.400960732	9.574983486	9.735068901	9.883284845	10.02127059	10.15034763	10.27159687	10.3859137	10.49404814	10.59663473
4	3	6.251388457	7.814727764	8.714792889	9.348403568	9.837409286	10.23551822	10.57118311	10.8613026	11.11673386	11.34486668	11.55095795	11.73888042	11.91156935	12.07130241	12.21988244	12.35876079	12.48912311	12.61195039	12.72806356	12.83815644
5	4	7.77944034	9.487729037	10.46136681	11.14328678	11.6678434	12.09387544	12.45241985	12.7618514	13.03394646	13.27670414	13.49580506	13.69542805	13.87873629	14.04818158	14.20570261	14.35285872	14.49092269	14.62094686	14.7438112	14.860259
6	5	9.236356938	11.07049775	12.10831873	12.83250201	13.38822261	13.83876983	14.2174264	14.54385195	14.83062377	15.08627247	15.31684868	15.52679863	15.71948484	15.89751147	16.06293617	16.21741288	16.36229069	16.49868453	16.6275262	16.74960237
7	6	10.64464068	12.59158724	13.68711902	14.44937534	15.03320775	15.50589207	15.90272511	16.24451989	16.54457332	16.81189383	17.05286489	17.27217346	17.47336155	17.65917057	17.83176539	17.99288518	18.14394802	18.28612521	18.42039531	18.54758418
8	7	12.01703656	14.06714043	15.21556567	16.01276427	16.62242187	17.1154579	17.52901164	17.884952	18.19723497	18.47530691	18.72585643	18.95379128	19.16281814	19.3558044	19.53501337	19.70226254	19.85903324	20.00654861	20.1458302	20.27773986
9	8	13.36156614	15.50731306	16.70486214	17.53454614	18.16823077	18.68021229	19.10933866	19.47845848	19.8021396	20.09023503	20.34971685	20.58569797	20.80203813	21.00172184	21.18710392	21.36007469	21.52217437	21.67467431	21.81863606	21.95495499
10	9	14.68365662	16.91897762	18.16259463	19.0227678	19.6790161	20.20879728	20.65255983	21.03407044	21.36847049	21.66599433	21.93387992	22.17743263	22.40065582	22.60664394	22.79783771	22.97619583	23.14331378	23.30050824	23.44887828	23.58935078
11	10	15.98717917	18.30703805	19.5941795	20.48317735	21.16076754	21.70739075	22.16500619	22.55824743	22.90279756	23.20925116	23.48509741	23.73582358	23.96556882	24.17753145	24.37423346	24.5576982	24.72957342	24.89121864	25.04376848	25.18817957
12	11	17.27500852	19.67513757	21.0036428	21.92004926	22.6179408	23.18058977	23.65138999	24.05579846	24.41001293	24.72497031	25.00839856	25.26595786	25.50191642	25.71957139	25.921522	26.10985309	26.28626214	26.45214942	26.60868336	26.75684892
13	12	18.54934779	21.02606982	22.39407331	23.33666416	24.05395669	24.63192461	25.11533077	25.5304181	25.89387568	26.21696731	26.50764895	26.77174594	27.01364978	27.23675202	27.44372568	27.63671436	27.81746307	27.98741101	28.14775891	28.29951882
14	13	19.81192931	22.3620325	23.76790194	24.73560489	25.47150915	26.06417607	26.55968019	26.98501762	27.35734838	27.68824961	27.98589589	28.25627088	28.50388435	28.73221833	28.94401666	29.14147929	29.3263968	29.50024576	29.66425789	29.81947123
15	14	21.06414421	23.68479131	25.12708258	26.11894805	26.87276464	27.47958092	27.98673244	28.42193954	28.80281514	29.14123774	29.44559221	29.72201455	29.97512827	30.2085025	30.42494919	30.62672252	30.81565695	30.993265	31.1608082	31.31934962
16	15	22.30712958	24.99579013	26.47321356	27.48839286	28.25949634	28.87997019	29.39836584	29.843102	30.23222838	30.57791417	30.88874707	31.17101005	31.42943636	31.66767917	31.88861614	32.0945538	32.28736894	32.46860875	32.63956359	32.80132065
17	16	23.54182892	26.29622761	27.80762215	28.84535072	29.63317731	30.26686529	30.79614132	31.25009923	31.647211	31.99992691	32.31703081	32.60494777	32.86851718	33.1114735	33.33675794	33.54672769	33.74330043	33.92805697	34.10231549	34.26718654
18	17	24.76903535	27.58711164	29.13142486	30.1910091	30.99504719	31.64154673	32.1813728	32.6442733	33.04912936	33.4086636	33.73184996	34.02525123	34.29380966	34.54133849	34.77084055	34.98472209	35.18494049	35.37310909	35.55057309	35.71846566
19	18	25.9894231	28.86929943	30.44557139	31.52637844	32.34616093	33.00510435	33.5551787	34.02676672	34.43914673	34.80530572	35.13440219	35.43313264	35.70653919	35.95851158	36.19211249	36.40979579	36.61355744	36.80504237	36.98562198	37.15645145
20	19	27.20357106	30.14352721	31.75087768	32.85232686	33.68742507	34.35847489	34.91852042	35.39856168	35.81826322	36.19086911	36.5257173	36.82963436	37.10775954	37.36405697	37.60164753	37.82303146	38.03024218	38.22495538	38.40856798	38.58225655
