DOF	RowCount	RowFraction	Column3	logLikelihoodRatio	Pvalue	ln(Pvalue)
1				0	1	0
1	0	-1	-2	0.01	0.887537084	-0.119304974
1	1	-0.998	-1.996	0.010092529	0.887021454	-0.11988611
1	2	-0.996	-1.992	0.010185914	0.886503492	-0.120470214
1	3	-0.994	-1.988	0.010280163	0.885983188	-0.121057303
1	4	-0.992	-1.984	0.010375284	0.885460533	-0.121647394
1	5	-0.99	-1.98	0.010471285	0.884935514	-0.122240502
1	6	-0.988	-1.976	0.010568175	0.884408124	-0.122836645
1	7	-0.986	-1.972	0.010665961	0.88387835	-0.123435839
1	8	-0.984	-1.968	0.010764652	0.883346184	-0.124038101
1	9	-0.982	-1.964	0.010864256	0.882811614	-0.124643449
1	10	-0.98	-1.96	0.010964782	0.88227463	-0.125251899
1	11	-0.978	-1.956	0.011066238	0.881735222	-0.125863469
1	12	-0.976	-1.952	0.011168632	0.88119338	-0.126478176
1	13	-0.974	-1.948	0.011271975	0.880649093	-0.127096038
1	14	-0.972	-1.944	0.011376273	0.88010235	-0.127717072
1	15	-0.97	-1.94	0.011481536	0.879553141	-0.128341295
1	16	-0.968	-1.936	0.011587774	0.879001455	-0.128968726
1	17	-0.966	-1.932	0.011694994	0.878447282	-0.129599382
1	18	-0.964	-1.928	0.011803206	0.877890611	-0.130233282
1	19	-0.962	-1.924	0.01191242	0.877331432	-0.130870443
1	20	-0.96	-1.92	0.012022644	0.876769733	-0.131510884
1	21	-0.958	-1.916	0.012133889	0.876205503	-0.132154623
1	22	-0.956	-1.912	0.012246162	0.875638733	-0.132801678
1	23	-0.954	-1.908	0.012359474	0.875069411	-0.133452069
1	24	-0.952	-1.904	0.012473835	0.874497526	-0.134105814
1	25	-0.95	-1.9	0.012589254	0.873923067	-0.134762931
1	26	-0.948	-1.896	0.012705741	0.873346024	-0.13542344
1	27	-0.946	-1.892	0.012823306	0.872766385	-0.136087359
1	28	-0.944	-1.888	0.012941958	0.872184139	-0.136754708
1	29	-0.942	-1.884	0.013061709	0.871599276	-0.137425507
1	30	-0.94	-1.88	0.013182567	0.871011783	-0.138099774
1	31	-0.938	-1.876	0.013304544	0.870421651	-0.138777529
1	32	-0.936	-1.872	0.01342765	0.869828867	-0.139458791
1	33	-0.934	-1.868	0.013551894	0.869233421	-0.140143581
1	34	-0.932	-1.864	0.013677288	0.868635301	-0.140831919
1	35	-0.93	-1.86	0.013803843	0.868034495	-0.141523824
1	36	-0.928	-1.856	0.013931568	0.867430994	-0.142219316
1	37	-0.926	-1.852	0.014060475	0.866824784	-0.142918417
1	38	-0.924	-1.848	0.014190575	0.866215855	-0.143621146
1	39	-0.922	-1.844	0.014321879	0.865604196	-0.144327524
1	40	-0.92	-1.84	0.014454398	0.864989794	-0.145037571
1	41	-0.918	-1.836	0.014588143	0.864372639	-0.145751309
1	42	-0.916	-1.832	0.014723125	0.863752718	-0.146468758
1	43	-0.914	-1.828	0.014859356	0.86313002	-0.147189939
1	44	-0.912	-1.824	0.014996848	0.862504533	-0.147914874
1	45	-0.91	-1.82	0.015135612	0.861876246	-0.148643584
1	46	-0.908	-1.816	0.015275661	0.861245147	-0.149376091
1	47	-0.906	-1.812	0.015417005	0.860611225	-0.150112416
1	48	-0.904	-1.808	0.015559656	0.859974466	-0.15085258
1	49	-0.902	-1.804	0.015703628	0.859334861	-0.151596607
1	50	-0.9	-1.8	0.015848932	0.858692395	-0.152344517
1	51	-0.898	-1.796	0.01599558	0.858047059	-0.153096334
1	52	-0.896	-1.792	0.016143586	0.857398839	-0.153852079
1	53	-0.894	-1.788	0.01629296	0.856747724	-0.154611775
1	54	-0.892	-1.784	0.016443717	0.856093702	-0.155375444
1	55	-0.89	-1.78	0.016595869	0.85543676	-0.156143109
1	56	-0.888	-1.776	0.016749429	0.854776888	-0.156914794
1	57	-0.886	-1.772	0.016904409	0.854114071	-0.157690521
1	58	-0.884	-1.768	0.017060824	0.853448299	-0.158470314
1	59	-0.882	-1.764	0.017218686	0.852779559	-0.159254196
1	60	-0.88	-1.76	0.017378008	0.852107838	-0.16004219
1	61	-0.878	-1.756	0.017538805	0.851433125	-0.16083432
1	62	-0.876	-1.752	0.01770109	0.850755407	-0.16163061
1	63	-0.874	-1.748	0.017864876	0.850074672	-0.162431084
1	64	-0.872	-1.744	0.018030177	0.849390908	-0.163235766
1	65	-0.87	-1.74	0.018197009	0.848704101	-0.16404468
1	66	-0.868	-1.736	0.018365383	0.84801424	-0.164857851
1	67	-0.866	-1.732	0.018535316	0.847321311	-0.165675304
1	68	-0.864	-1.728	0.018706821	0.846625304	-0.166497063
1	69	-0.862	-1.724	0.018879913	0.845926204	-0.167323153
1	70	-0.86	-1.72	0.019054607	0.845223999	-0.168153599
1	71	-0.858	-1.716	0.019230917	0.844518677	-0.168988427
1	72	-0.856	-1.712	0.019408859	0.843810224	-0.169827662
1	73	-0.854	-1.708	0.019588447	0.843098629	-0.17067133
1	74	-0.852	-1.704	0.019769696	0.842383878	-0.171519456
1	75	-0.85	-1.7	0.019952623	0.841665959	-0.172372067
1	76	-0.848	-1.696	0.020137242	0.840944859	-0.173229188
1	77	-0.846	-1.692	0.02032357	0.840220564	-0.174090845
1	78	-0.844	-1.688	0.020511622	0.839493063	-0.174957066
1	79	-0.842	-1.684	0.020701413	0.838762341	-0.175827877
1	80	-0.84	-1.68	0.020892961	0.838028387	-0.176703305
1	81	-0.838	-1.676	0.021086281	0.837291187	-0.177583376
1	82	-0.836	-1.672	0.02128139	0.836550727	-0.178468118
1	83	-0.834	-1.668	0.021478305	0.835806996	-0.179357558
1	84	-0.832	-1.664	0.021677041	0.83505998	-0.180251725
1	85	-0.83	-1.66	0.021877616	0.834309665	-0.181150644
1	86	-0.828	-1.656	0.022080047	0.833556039	-0.182054346
1	87	-0.826	-1.652	0.022284351	0.832799089	-0.182962856
1	88	-0.824	-1.648	0.022490546	0.8320388	-0.183876205
1	89	-0.822	-1.644	0.022698649	0.83127516	-0.184794419
1	90	-0.82	-1.64	0.022908677	0.830508156	-0.185717529
1	91	-0.818	-1.636	0.023120648	0.829737775	-0.186645562
1	92	-0.816	-1.632	0.023334581	0.828964002	-0.187578549
1	93	-0.814	-1.628	0.023550493	0.828186824	-0.188516517
1	94	-0.812	-1.624	0.023768403	0.827406229	-0.189459497
1	95	-0.81	-1.62	0.023988329	0.826622202	-0.190407518
1	96	-0.808	-1.616	0.02421029	0.82583473	-0.19136061
1	97	-0.806	-1.612	0.024434306	0.8250438	-0.192318803
1	98	-0.804	-1.608	0.024660393	0.824249398	-0.193282127
1	99	-0.802	-1.604	0.024888573	0.82345151	-0.194250614
1	100	-0.8	-1.6	0.025118864	0.822650123	-0.195224292
1	101	-0.798	-1.596	0.025351286	0.821845224	-0.196203194
1	102	-0.796	-1.592	0.025585859	0.821036798	-0.19718735
1	103	-0.794	-1.588	0.025822602	0.820224832	-0.198176791
1	104	-0.792	-1.584	0.026061535	0.819409311	-0.19917155
1	105	-0.79	-1.58	0.02630268	0.818590224	-0.200171658
1	106	-0.788	-1.576	0.026546056	0.817767555	-0.201177146
1	107	-0.786	-1.572	0.026791683	0.81694129	-0.202188047
1	108	-0.784	-1.568	0.027039584	0.816111417	-0.203204393
1	109	-0.782	-1.564	0.027289778	0.81527792	-0.204226217
1	110	-0.78	-1.56	0.027542287	0.814440787	-0.205253552
1	111	-0.778	-1.556	0.027797133	0.813600003	-0.20628643
1	112	-0.776	-1.552	0.028054336	0.812755555	-0.207324885
1	113	-0.774	-1.548	0.02831392	0.811907428	-0.208368951
1	114	-0.772	-1.544	0.028575905	0.811055608	-0.20941866
1	115	-0.77	-1.54	0.028840315	0.810200082	-0.210474047
1	116	-0.768	-1.536	0.029107171	0.809340835	-0.211535147
1	117	-0.766	-1.532	0.029376497	0.808477853	-0.212601993
1	118	-0.764	-1.528	0.029648314	0.807611122	-0.213674621
1	119	-0.762	-1.524	0.029922646	0.806740629	-0.214753064
1	120	-0.76	-1.52	0.030199517	0.805866358	-0.215837359
1	121	-0.758	-1.516	0.03047895	0.804988297	-0.21692754
1	122	-0.756	-1.512	0.030760968	0.80410643	-0.218023643
1	123	-0.754	-1.508	0.031045596	0.803220743	-0.219125705
1	124	-0.752	-1.504	0.031332857	0.802331223	-0.22023376
