var	cid	val
AnHla	1	1
AnHla	2	0
AnHla	3	0
AnHla	4	1
AnHla	5	1
AnHla	6	1
AnHla	7	0
AnHla	8	1
AnHla	9	1
AnHla	10	1
AnHla	11	1
AnHla	12	0
AnHla	13	1
AnHla	14	0
AnHla	15	1
AnHla	16	1
AnHla	17	1
AnHla	18	1
AnHla	19	0
AnHla	20	1
AnHla	21	0
AnHla	22	0
AnHla	23	0
AnHla	24	1
AnHla	25	0
AnHla	26	0
AnHla	27	1
AnHla	28	1
AnHla	29	0
AnHla	30	1
AnHla	31	0
AnHla	32	1
AnHla	33	1
AnHla	34	1
AnHla	35	1
AnHla	36	0
AnHla	37	0
AnHla	38	1
AnHla	39	0
AnHla	40	1
AnHla	41	1
AnHla	42	0
AnHla	43	1
AnHla	44	1
AnHla	45	0
AnHla	46	1
AnHla	47	0
AnHla	48	1
AnHla	49	1
AnHla	50	0
AnHla	51	0
AnHla	52	0
AnHla	53	1
AnHla	54	0
AnHla	55	0
AnHla	56	1
AnHla	57	1
AnHla	58	0
AnHla	59	1
AnHla	60	0
AnHla	61	1
AnHla	62	1
AnHla	63	1
AnHla	64	0
AnHla	65	1
AnHla	66	1
AnHla	67	1
AnHla	68	1
AnHla	69	0
AnHla	70	1
AnHla	71	1
AnHla	72	1
AnHla	73	1
AnHla	74	0
AnHla	75	1
AnHla	76	1
AnHla	77	1
AnHla	78	0
AnHla	79	0
AnHla	80	0
AnHla	81	0
AnHla	82	0
AnHla	83	0
AnHla	84	1
AnHla	85	0
AnHla	86	0
AnHla	87	1
AnHla	88	1
AnHla	89	0
AnHla	90	1
AnHla	91	1
AnHla	92	0
AnHla	93	0
AnHla	94	1
AnHla	95	1
AnHla	96	1
AnHla	97	0
AnHla	98	1
AnHla	99	1
AnHla	100	1
AnHla	101	1
AnHla	102	1
AnHla	103	1
AnHla	104	0
AnHla	105	0
AnHla	106	0
AnHla	107	0
AnHla	108	0
AnHla	109	1
AnHla	110	1
AnHla	111	1
AnHla	112	0
AnHla	113	1
AnHla	114	0
AnHla	115	1
AnHla	116	0
AnHla	117	0
AnHla	118	0
AnHla	119	0
AnHla	120	1
AnHla	121	0
AnHla	122	1
AnHla	123	1
AnHla	124	0
AnHla	125	1
AnHla	126	1
AnHla	127	1
AnHla	128	1
AnHla	129	1
AnHla	130	1
AnHla	131	0
AnHla	132	1
AnHla	133	0
AnHla	134	1
AnHla	135	0
AnHla	136	0
AnHla	137	1
AnHla	138	0
AnHla	139	1
AnHla	140	1
AnHla	141	1
AnHla	142	1
AnHla	143	1
AnHla	144	0
AnHla	145	1
AnHla	146	0
AnHla	147	1
AnHla	148	0
AnHla	149	0
AnHla	150	1
AnHla	151	0
AnHla	152	0
AnHla	153	0
AnHla	154	0
AnHla	155	1
AnHla	156	0
AnHla	157	1
AnHla	158	1
AnHla	159	1
AnHla	160	1
AnHla	161	0
AnHla	162	1
AnHla	163	0
AnHla	164	0
AnHla	165	1
AnHla	166	1
AnHla	167	0
AnHla	168	0
AnHla	169	1
AnHla	170	1
AnHla	171	0
AnHla	172	1
AnHla	173	1
AnHla	174	0
AnHla	175	0
AnHla	176	1
AnHla	177	1
AnHla	178	0
AnHla	179	1
AnHla	180	1
AnHla	181	1
AnHla	182	0
AnHla	183	0
AnHla	184	0
AnHla	185	1
AnHla	186	0
AnHla	187	1
AnHla	188	1
AnHla	189	1
AnHla	190	1
AnHla	191	1
AnHla	192	0
AnHla	193	0
AnHla	194	0
AnHla	195	1
AnHla	196	0
AnHla	197	0
AnHla	198	1
AnHla	199	0
AnHla	200	0
