AnyColumn1	NullIndex	AnyColumn2	AnyColumn3	PValue	AnyColumn4	qValue
anyValue1	-1	anyValue2	anyValue3	8.60E-05	anyValue4	0
anyValue1	-1	anyValue2	anyValue3	0.00018431	anyValue4	0
anyValue1	-1	anyValue2	anyValue3	0.000606515	anyValue4	0
anyValue1	-1	anyValue2	anyValue3	0.00123407	anyValue4	0.25
anyValue1	-1	anyValue2	anyValue3	0.00142628	anyValue4	0.25
anyValue1	-1	anyValue2	anyValue3	0.001545502	anyValue4	0.25
anyValue1	-1	anyValue2	anyValue3	0.001545502	anyValue4	0.25
anyValue1	-1	anyValue2	anyValue3	0.001807728	anyValue4	0.25
anyValue1	-1	anyValue2	anyValue3	0.003040432	anyValue4	0.25
anyValue1	-1	anyValue2	anyValue3	0.003517342	anyValue4	0.25
anyValue1	-1	anyValue2	anyValue3	0.0055066	anyValue4	0.25
anyValue1	-1	anyValue2	anyValue3	0.00567317	anyValue4	0.25
anyValue1	-1	anyValue2	anyValue3	0.006079984	anyValue4	0.3125
anyValue1	-1	anyValue2	anyValue3	0.006178931	anyValue4	0.3125
anyValue1	-1	anyValue2	anyValue3	0.006178931	anyValue4	0.3125
anyValue1	-1	anyValue2	anyValue3	0.006178931	anyValue4	0.3125
anyValue1	-1	anyValue2	anyValue3	0.008389877	anyValue4	0.352941176470588
anyValue1	-1	anyValue2	anyValue3	0.009561601	anyValue4	0.421052631578947
anyValue1	-1	anyValue2	anyValue3	0.009697463	anyValue4	0.421052631578947
anyValue1	-1	anyValue2	anyValue3	0.010170418	anyValue4	0.517241379310345
anyValue1	-1	anyValue2	anyValue3	0.010255919	anyValue4	0.517241379310345
anyValue1	-1	anyValue2	anyValue3	0.010526563	anyValue4	0.517241379310345
anyValue1	-1	anyValue2	anyValue3	0.010631012	anyValue4	0.517241379310345
anyValue1	-1	anyValue2	anyValue3	0.010845928	anyValue4	0.517241379310345
anyValue1	-1	anyValue2	anyValue3	0.011089748	anyValue4	0.517241379310345
anyValue1	-1	anyValue2	anyValue3	0.011089748	anyValue4	0.517241379310345
anyValue1	-1	anyValue2	anyValue3	0.011425246	anyValue4	0.517241379310345
anyValue1	-1	anyValue2	anyValue3	0.011425246	anyValue4	0.517241379310345
anyValue1	-1	anyValue2	anyValue3	0.013064007	anyValue4	0.517241379310345
anyValue1	-1	anyValue2	anyValue3	0.014925729	anyValue4	0.588235294117647
anyValue1	-1	anyValue2	anyValue3	0.015117191	anyValue4	0.588235294117647
anyValue1	-1	anyValue2	anyValue3	0.015716794	anyValue4	0.588235294117647
anyValue1	-1	anyValue2	anyValue3	0.015754833	anyValue4	0.588235294117647
anyValue1	-1	anyValue2	anyValue3	0.016785063	anyValue4	0.588235294117647
anyValue1	-1	anyValue2	anyValue3	0.018108445	anyValue4	0.594594594594595
anyValue1	-1	anyValue2	anyValue3	0.018971636	anyValue4	0.594594594594595
anyValue1	-1	anyValue2	anyValue3	0.019240562	anyValue4	0.594594594594595
anyValue1	-1	anyValue2	anyValue3	0.019887615	anyValue4	0.657894736842105
anyValue1	-1	anyValue2	anyValue3	0.020162455	anyValue4	0.707317073170732
anyValue1	-1	anyValue2	anyValue3	0.020162455	anyValue4	0.707317073170732
anyValue1	-1	anyValue2	anyValue3	0.020861473	anyValue4	0.707317073170732
anyValue1	-1	anyValue2	anyValue3	0.022575302	anyValue4	0.738095238095238
anyValue1	-1	anyValue2	anyValue3	0.023268965	anyValue4	0.741379310344828
anyValue1	-1	anyValue2	anyValue3	0.023695815	anyValue4	0.741379310344828
anyValue1	-1	anyValue2	anyValue3	0.025533837	anyValue4	0.741379310344828
anyValue1	-1	anyValue2	anyValue3	0.026711573	anyValue4	0.741379310344828
anyValue1	-1	anyValue2	anyValue3	0.027350331	anyValue4	0.741379310344828
anyValue1	-1	anyValue2	anyValue3	0.027952719	anyValue4	0.741379310344828
anyValue1	-1	anyValue2	anyValue3	0.028272643	anyValue4	0.741379310344828
anyValue1	-1	anyValue2	anyValue3	0.028489621	anyValue4	0.741379310344828
anyValue1	-1	anyValue2	anyValue3	0.028864155	anyValue4	0.741379310344828
anyValue1	-1	anyValue2	anyValue3	0.029706471	anyValue4	0.741379310344828
anyValue1	-1	anyValue2	anyValue3	0.030475296	anyValue4	0.741379310344828
anyValue1	-1	anyValue2	anyValue3	0.030857321	anyValue4	0.741379310344828
anyValue1	-1	anyValue2	anyValue3	0.031987349	anyValue4	0.741379310344828
anyValue1	-1	anyValue2	anyValue3	0.03333761	anyValue4	0.741379310344828
anyValue1	-1	anyValue2	anyValue3	0.033972323	anyValue4	0.741379310344828
anyValue1	-1	anyValue2	anyValue3	0.037744203	anyValue4	0.741379310344828
anyValue1	-1	anyValue2	anyValue3	0.038968637	anyValue4	0.76271186440678
anyValue1	-1	anyValue2	anyValue3	0.039443398	anyValue4	0.766666666666667
anyValue1	-1	anyValue2	anyValue3	0.040981092	anyValue4	0.770491803278688
anyValue1	-1	anyValue2	anyValue3	0.048231027	anyValue4	0.790322580645161
anyValue1	-1	anyValue2	anyValue3	0.049172897	anyValue4	0.80952380952381
