AnyColumn1	NullIndex	AnyColumn2	AnyColumn3	PValue	AnyColumn4
anyValue1	-1	anyValue2	anyValue3	0.015117191	anyValue4
anyValue1	-1	anyValue2	anyValue3	0.00142628	anyValue4
anyValue1	-1	anyValue2	anyValue3	0.003517342	anyValue4
anyValue1	-1	anyValue2	anyValue3	0.009697463	anyValue4
anyValue1	-1	anyValue2	anyValue3	0.008389877	anyValue4
anyValue1	-1	anyValue2	anyValue3	0.028864155	anyValue4
anyValue1	-1	anyValue2	anyValue3	0.006178931	anyValue4
anyValue1	-1	anyValue2	anyValue3	0.011425246	anyValue4
anyValue1	-1	anyValue2	anyValue3	0.030475296	anyValue4
anyValue1	-1	anyValue2	anyValue3	0.025533837	anyValue4
anyValue1	-1	anyValue2	anyValue3	0.022575302	anyValue4
anyValue1	-1	anyValue2	anyValue3	0.038968637	anyValue4
anyValue1	-1	anyValue2	anyValue3	0.018971636	anyValue4
anyValue1	-1	anyValue2	anyValue3	0.015754833	anyValue4
anyValue1	-1	anyValue2	anyValue3	0.001807728	anyValue4
anyValue1	-1	anyValue2	anyValue3	0.011089748	anyValue4
anyValue1	-1	anyValue2	anyValue3	0.029706471	anyValue4
anyValue1	-1	anyValue2	anyValue3	0.019240562	anyValue4
anyValue1	-1	anyValue2	anyValue3	0.011089748	anyValue4
anyValue1	-1	anyValue2	anyValue3	0.027350331	anyValue4
anyValue1	-1	anyValue2	anyValue3	0.000606515	anyValue4
anyValue1	-1	anyValue2	anyValue3	8.60E-05	anyValue4
anyValue1	-1	anyValue2	anyValue3	0.006079984	anyValue4
anyValue1	-1	anyValue2	anyValue3	0.006178931	anyValue4
anyValue1	-1	anyValue2	anyValue3	0.011425246	anyValue4
anyValue1	-1	anyValue2	anyValue3	0.001545502	anyValue4
anyValue1	-1	anyValue2	anyValue3	0.00123407	anyValue4
anyValue1	-1	anyValue2	anyValue3	0.023268965	anyValue4
anyValue1	-1	anyValue2	anyValue3	0.023695815	anyValue4
anyValue1	-1	anyValue2	anyValue3	0.018108445	anyValue4
anyValue1	-1	anyValue2	anyValue3	0.010845928	anyValue4
anyValue1	-1	anyValue2	anyValue3	0.037744203	anyValue4
anyValue1	-1	anyValue2	anyValue3	0.006178931	anyValue4
anyValue1	-1	anyValue2	anyValue3	0.028272643	anyValue4
anyValue1	-1	anyValue2	anyValue3	0.030857321	anyValue4
anyValue1	-1	anyValue2	anyValue3	0.001545502	anyValue4
anyValue1	-1	anyValue2	anyValue3	0.019887615	anyValue4
anyValue1	-1	anyValue2	anyValue3	0.010255919	anyValue4
